hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
0, 900.00000, 0.116224, 0.0723075, 0.116611, 0.0721296, -7.78031E-005, -0.000221623
0, 1800.00000, 0.10692, 0.0664986, 0.10725, 0.0663499, -6.56072E-005, -0.000188386
0, 2700.00000, 0.0997334, 0.0620131, 0.10002, 0.061884, -5.71702E-005, -0.000163143
1, 0.00000, 0.0897865, 0.0558105, 0.0900201, 0.0557066, -4.59217E-005, -0.000133239
1, 900.00000, 0.0892475, 0.055473, 0.089474, 0.0553692, -4.53505E-005, -0.000130363
1, 1800.00000, 0.0820215, 0.0509713, 0.0822192, 0.0508853, -3.83272E-005, -0.000112095
1, 2700.00000, 0.0793492, 0.0493041, 0.0795269, 0.049222, -3.55617E-005, -0.000103185
2, 0.00000, 0.0759897, 0.0472127, 0.0761581, 0.0471388, -3.27656E-005, -9.58427E-005
2, 900.00000, 0.0786054, 0.0488409, 0.0787802, 0.0487602, -3.496E-005, -0.000101224
2, 1800.00000, 0.0788698, 0.0490042, 0.0790438, 0.0489235, -3.51269E-005, -0.000100765
2, 2700.00000, 0.076579, 0.0475776, 0.0767455, 0.0475027, -3.30238E-005, -9.53133E-005
3, 0.00000, 0.0713952, 0.0443509, 0.0715434, 0.044286, -2.88136E-005, -8.4423E-005
3, 900.00000, 0.0727732, 0.0452083, 0.0729231, 0.0451394, -2.98237E-005, -8.69323E-005
3, 1800.00000, 0.0737942, 0.0458441, 0.0739497, 0.0457738, -3.07817E-005, -8.93574E-005
3, 2700.00000, 0.0730216, 0.0453622, 0.0731713, 0.045293, -3.00152E-005, -8.68546E-005
4, 0.00000, 0.0711966, 0.0442252, 0.0713388, 0.0441601, -2.84727E-005, -8.21763E-005
4, 900.00000, 0.0691675, 0.0429638, 0.0693064, 0.0429025, -2.71702E-005, -7.91345E-005
4, 1800.00000, 0.068408, 0.0424916, 0.0685435, 0.0424313, -2.62696E-005, -7.79116E-005
4, 2700.00000, 0.0683805, 0.0424735, 0.0685141, 0.0424128, -2.64734E-005, -7.72461E-005
5, 0.00000, 0.0887028, 0.0551329, 0.0889218, 0.055028, -4.48395E-005, -0.000127716
5, 900.00000, 0.114897, 0.071472, 0.115257, 0.0712949, -7.57573E-005, -0.000210981
5, 1800.00000, 0.171864, 0.107113, 0.172698, 0.106723, -0.000172821, -0.000474793
5, 2700.00000, 0.222433, 0.1389, 0.223893, 0.138231, -0.000294575, -0.00082747
6, 0.00000, 0.118221, 0.0735919, 0.118682, 0.0734035, -7.98519E-005, -0.000262812
6, 900.00000, 0.118133, 0.0735499, 0.118624, 0.0733648, -8.01654E-005, -0.000273854
6, 1800.00000, 0.107822, 0.0670736, 0.108175, 0.0669205, -6.57333E-005, -0.000202812
6, 2700.00000, 0.108101, 0.0672369, 0.108433, 0.0670822, -6.55146E-005, -0.000194083
7, 0.00000, 0.0961001, 0.059755, 0.0963841, 0.0596387, -5.1565E-005, -0.00015961
7, 900.00000, 0.106997, 0.0665675, 0.107366, 0.0664185, -6.54752E-005, -0.000207289
7, 1800.00000, 0.0854093, 0.0531036, 0.0856601, 0.0530085, -4.19044E-005, -0.000140281
7, 2700.00000, 0.085169, 0.0529396, 0.085383, 0.0528407, -4.07506E-005, -0.000127593
8, 0.00000, 0.104162, 0.0647721, 0.104453, 0.0646242, -6.1161E-005, -0.000174478
8, 900.00000, 0.109658, 0.0682018, 0.109995, 0.0680464, -6.81685E-005, -0.000192762
8, 1800.00000, 0.0934983, 0.0581226, 0.0937524, 0.0580137, -4.91207E-005, -0.000142697
8, 2700.00000, 0.10392, 0.0646245, 0.104226, 0.0644827, -6.17565E-005, -0.000176368
9, 0.00000, 0.118006, 0.0734147, 0.118388, 0.0732278, -7.99776E-005, -0.000223468
9, 900.00000, 0.102421, 0.0636891, 0.102726, 0.0635563, -5.99801E-005, -0.000171529
9, 1800.00000, 0.110574, 0.068782, 0.11093, 0.0686221, -7.01084E-005, -0.000203579
9, 2700.00000, 0.12908, 0.080328, 0.129523, 0.0801026, -9.47593E-005, -0.000263551
10, 0.00000, 0.115198, 0.0716579, 0.115575, 0.0714927, -7.52755E-005, -0.000210695
10, 900.00000, 0.111649, 0.0694465, 0.111998, 0.0692833, -7.11391E-005, -0.000201438
10, 1800.00000, 0.104795, 0.0651753, 0.105125, 0.065037, -6.30772E-005, -0.000183676
10, 2700.00000, 0.123885, 0.0770967, 0.124323, 0.0768891, -8.90623E-005, -0.000254991
11, 0.00000, 0.175918, 0.109664, 0.176807, 0.109254, -0.000180878, -0.000506149
11, 900.00000, 0.184475, 0.115025, 0.185439, 0.114573, -0.00019845, -0.000551845
11, 1800.00000, 0.154197, 0.0960547, 0.154893, 0.0957478, -0.000137963, -0.000389166
11, 2700.00000, 0.12818, 0.0797939, 0.128698, 0.0795882, -9.45669E-005, -0.000284223
12, 0.00000, 0.122336, 0.0761331, 0.122773, 0.0759323, -8.62976E-005, -0.000252291
12, 900.00000, 0.141302, 0.0879944, 0.141891, 0.0877283, -0.000115442, -0.000338234
12, 1800.00000, 0.118804, 0.0739303, 0.119235, 0.0737479, -8.12656E-005, -0.000241842
12, 2700.00000, 0.109613, 0.0681844, 0.109965, 0.0680256, -6.89844E-005, -0.000202122
13, 0.00000, 0.115885, 0.0720975, 0.116269, 0.0719183, -7.74609E-005, -0.000222002
