hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
0, 900.00000, 0.130253, 0.0810108, 0.000177269, -0.000208735
0, 1800.00000, 0.124593, 0.0774685, 0.000156558, -0.000184
0, 2700.00000, 0.114152, 0.0709604, 0.000133015, -0.00015686
1, 0.00000, 0.108485, 0.0674169, 0.000114738, -0.000134477
1, 900.00000, 0.102145, 0.0634753, 0.000106376, -0.000124984
1, 1800.00000, 0.104222, 0.0647533, 0.000101416, -0.000118726
1, 2700.00000, 0.092984, 0.0577645, 8.62283E-005, -0.000100951
2, 0.00000, 0.0956197, 0.0593969, 8.58661E-005, -0.000100494
2, 900.00000, 0.0913141, 0.0567262, 8.38505E-005, -9.82682E-005
2, 1800.00000, 0.0862197, 0.0535609, 7.86103E-005, -9.22917E-005
2, 2700.00000, 0.0847972, 0.0526738, 7.5371E-005, -8.82569E-005
3, 0.00000, 0.0891227, 0.0553529, 7.50626E-005, -8.77553E-005
3, 900.00000, 0.0864694, 0.0537068, 7.36565E-005, -8.61191E-005
3, 1800.00000, 0.087066, 0.0540791, 7.51412E-005, -8.80373E-005
3, 2700.00000, 0.0833952, 0.0517972, 7.0745E-005, -8.28745E-005
4, 0.00000, 0.079848, 0.0495908, 6.57355E-005, -7.70427E-005
4, 900.00000, 0.0875784, 0.0543899, 7.12024E-005, -8.3599E-005
4, 1800.00000, 0.0884035, 0.0549016, 7.17865E-005, -8.34911E-005
4, 2700.00000, 0.0857366, 0.0532445, 6.88805E-005, -8.07513E-005
5, 0.00000, 0.0963789, 0.0598913, 9.89758E-005, -0.000116596
5, 900.00000, 0.110564, 0.0687596, 0.000145261, -0.000171718
5, 1800.00000, 0.160257, 0.0998413, 0.000317791, -0.000376161
5, 2700.00000, 0.251616, 0.157029, 0.000671305, -0.000790733
6, 0.00000, 0.239736, 0.149152, 0.000383961, -0.000430315
6, 900.00000, 0.276892, 0.17228, 0.000464013, -0.00051391
6, 1800.00000, 0.162141, 0.100828, 0.000218761, -0.000250222
6, 2700.00000, 0.127058, 0.079005, 0.000163841, -0.000189143
7, 0.00000, 0.140264, 0.0871891, 0.000167255, -0.000190706
7, 900.00000, 0.190314, 0.11835, 0.000264324, -0.000300671
7, 1800.00000, 0.19529, 0.121372, 0.000230432, -0.000257805
7, 2700.00000, 0.135523, 0.0842152, 0.00014552, -0.000165854
8, 0.00000, 0.1024, 0.0636618, 0.000123181, -0.000143852
8, 900.00000, 0.103528, 0.0643738, 0.000130798, -0.000153089
8, 1800.00000, 0.0987297, 0.0613611, 0.000108201, -0.000125717
8, 2700.00000, 0.110506, 0.0687032, 0.000134186, -0.000157483
9, 0.00000, 0.114181, 0.0710166, 0.000154812, -0.000182646
9, 900.00000, 0.112336, 0.069837, 0.000134399, -0.000157819
9, 1800.00000, 0.132218, 0.0822212, 0.000173914, -0.000203346
9, 2700.00000, 0.112506, 0.0699958, 0.000165407, -0.000193968
10, 0.00000, 0.100857, 0.0627222, 0.000132914, -0.000155606
10, 900.00000, 0.117224, 0.0728947, 0.000151118, -0.000177699
10, 1800.00000, 0.130895, 0.0813837, 0.000163599, -0.000191452
10, 2700.00000, 0.1494, 0.0929434, 0.000219037, -0.00025795
11, 0.00000, 0.179611, 0.111918, 0.000370776, -0.00043628
11, 900.00000, 0.176456, 0.109979, 0.000379779, -0.000446229
11, 1800.00000, 0.163908, 0.102064, 0.000296216, -0.000348269
11, 2700.00000, 0.182977, 0.113858, 0.000290381, -0.000335621
12, 0.00000, 0.157638, 0.0980678, 0.000232027, -0.000271053
