hour, t(sec), V1, VAngle1, V2, VAngle2, I1, IAngle1, I2, IAngle2
0, 900.00000, 125.788, -30.1928, 0.220165, 66.6791, 1.21943, -62.0724, 1.24384, 116.339
0, 1800.00000, 125.836, -30.185, 0.203294, 66.8028, 1.16591, -62.0573, 1.18838, 116.41
0, 2700.00000, 125.947, -30.1665, 0.189016, 66.7052, 1.06719, -62.0329, 1.08808, 116.408
1, 0.00000, 125.974, -30.1645, 0.171161, 66.9657, 1.01391, -62.0231, 1.03279, 116.494
1, 900.00000, 126.026, -30.1581, 0.168688, 66.8319, 0.954255, -62.0159, 0.972942, 116.43
1, 1800.00000, 126.026, -30.1541, 0.157578, 67.0759, 0.97361, -62.0068, 0.990902, 116.572
1, 2700.00000, 126.095, -30.1489, 0.150061, 66.9864, 0.868125, -61.9987, 0.884741, 116.484
2, 0.00000, 126.097, -30.1444, 0.145466, 67.0891, 0.892696, -61.992, 0.908677, 116.577
2, 900.00000, 126.117, -30.1451, 0.148679, 66.9473, 0.85238, -61.9945, 0.868851, 116.474
2, 1800.00000, 126.153, -30.1416, 0.147658, 66.8199, 0.804592, -61.9907, 0.821034, 116.397
2, 2700.00000, 126.159, -30.1416, 0.143766, 66.9135, 0.791267, -61.9891, 0.807286, 116.416
3, 0.00000, 126.148, -30.1379, 0.13639, 67.1215, 0.83167, -61.9817, 0.846679, 116.579
3, 900.00000, 126.155, -30.1396, 0.137839, 67.0567, 0.806874, -61.9843, 0.822127, 116.517
3, 1800.00000, 126.16, -30.1377, 0.139808, 66.9868, 0.812414, -61.9833, 0.827878, 116.506
3, 2700.00000, 126.179, -30.1368, 0.137358, 66.954, 0.778036, -61.9814, 0.793281, 116.469
4, 0.00000, 126.207, -30.1331, 0.13333, 66.924, 0.744763, -61.9761, 0.759583, 116.452
4, 900.00000, 126.182, -30.1296, 0.132067, 67.0286, 0.817023, -61.9716, 0.831483, 116.607
4, 1800.00000, 126.137, -30.141, 0.131171, 67.3141, 0.825012, -61.9827, 0.839435, 116.625
