hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
0, 900.00000, 126.663, -150.09, 126.117, 89.9189, 0.078343, -151.017, 0.00227911, 178.368, 0.00229491, 58.4663, 0.015818, -142.808
0, 1800.00000, 126.646, -150.093, 126.149, 89.9172, 0.0726638, -151.339, 0.00254504, 178.34, 0.00256095, 58.4287, 0.0147317, -141.467
0, 2700.00000, 126.697, -150.08, 126.233, 89.9284, 0.0672575, -151.025, 0.00222738, 178.384, 0.00224188, 58.4891, 0.0136236, -141.689
1, 0.00000, 126.66, -150.088, 126.248, 89.9214, 0.0616439, -151.842, 0.00245779, 178.352, 0.0024721, 58.4492, 0.0125327, -140.607
1, 900.00000, 126.677, -150.083, 126.269, 89.9231, 0.0598733, -150.455, 0.00240399, 178.362, 0.00241809, 58.4596, 0.0122327, -139.199
1, 1800.00000, 126.688, -150.084, 126.309, 89.9293, 0.0577453, -153.43, 0.00214823, 178.391, 0.0021613, 58.5075, 0.011651, -142.88
1, 2700.00000, 126.661, -150.085, 126.307, 89.9205, 0.0532495, -150.172, 0.00261632, 178.342, 0.00263005, 58.4317, 0.0110066, -136.503
2, 0.00000, 126.69, -150.081, 126.344, 89.9294, 0.0528484, -152.567, 0.00227649, 178.378, 0.00228937, 58.488, 0.0107494, -140.413
2, 900.00000, 126.695, -150.079, 126.336, 89.9271, 0.0531243, -150.898, 0.00217791, 178.39, 0.00219075, 58.5024, 0.0108463, -139.387
2, 1800.00000, 126.688, -150.077, 126.335, 89.9241, 0.0516197, -148.653, 0.00243096, 178.365, 0.00244428, 58.4606, 0.010704, -135.62
2, 2700.00000, 126.699, -150.078, 126.351, 89.9258, 0.0509205, -149.849, 0.00209364, 178.402, 0.00210617, 58.5177, 0.0104348, -138.351
3, 0.00000, 126.699, -150.078, 126.376, 89.9307, 0.0495195, -152.389, 0.00217272, 178.392, 0.00218508, 58.5083, 0.0100863, -140.02
3, 900.00000, 126.684, -150.08, 126.358, 89.9256, 0.0492614, -150.776, 0.00235481, 178.37, 0.00236754, 58.4738, 0.0101401, -137.423
3, 1800.00000, 126.707, -150.076, 126.372, 89.9305, 0.0501165, -151.195, 0.00210316, 178.403, 0.00211554, 58.5208, 0.0102316, -139.403
3, 2700.00000, 126.681, -150.079, 126.358, 89.9243, 0.0483207, -149.211, 0.00252952, 178.355, 0.00254254, 58.4486, 0.0100701, -134.754
4, 0.00000, 126.672, -150.078, 126.363, 89.9221, 0.0463132, -147.822, 0.00278729, 178.334, 0.00280056, 58.417, 0.00982841, -131.467
4, 900.00000, 126.692, -150.075, 126.389, 89.9317, 0.0470797, -150.944, 0.00271196, 178.344, 0.00272498, 58.4341, 0.00980855, -134.973
4, 1800.00000, 126.664, -150.086, 126.359, 89.9236, 0.0478513, -152.589, 0.00247386, 178.353, 0.00248647, 58.455, 0.00982222, -138.077
4, 2700.00000, 126.69, -150.076, 126.39, 89.9304, 0.0465565, -150.982, 0.00262444, 178.349, 0.00263727, 58.4432, 0.00968132, -135.331
5, 0.00000, 126.71, -150.075, 126.301, 89.9285, 0.05862, -149.701, 0.00210327, 178.403, 0.00211656, 58.5154, 0.0119505, -139.642
5, 900.00000, 126.674, -150.079, 126.148, 89.9156, 0.0723879, -146.271, 0.00271205, 178.338, 0.00272885, 58.4086, 0.0149426, -135.943
5, 1800.00000, 126.704, -150.078, 125.882, 89.9166, 0.109195, -147.239, 0.00217326, 178.389, 0.0021926, 58.4701, 0.0220554, -141.679
5, 2700.00000, 126.615, -150.113, 125.524, 89.9107, 0.152553, -152.049, 0.00252919, 178.323, 0.00255472, 58.3895, 0.0305202, -147.372
6, 0.00000, 126.339, -150.206, 125.743, 89.8788, 0.112551, -166.847, 0.00242744, 178.25, 0.0024444, 58.384, 0.0219396, -160.784
6, 900.00000, 126.271, -150.234, 125.662, 89.8774, 0.124687, -170.306, 0.0024923, 178.221, 0.0025096, 58.3674, 0.0241888, -164.769
6, 1800.00000, 126.508, -150.149, 125.978, 89.892, 0.0863479, -160.067, 0.00176938, 178.386, 0.00178325, 58.5383, 0.017052, -154.244
6, 2700.00000, 126.54, -150.129, 126.026, 89.886, 0.0763401, -153.534, 0.00205416, 178.358, 0.00206879, 58.4732, 0.0152988, -145.893
7, 0.00000, 126.491, -150.145, 126.032, 89.8853, 0.0749509, -158.537, 0.00226403, 178.319, 0.00227849, 58.4344, 0.0148512, -149.902
7, 900.00000, 126.477, -150.16, 125.948, 89.8985, 0.093339, -163.689, 0.00213218, 178.324, 0.00214712, 58.461, 0.0182913, -157.211
7, 1800.00000, 126.459, -150.164, 126.04, 89.9091, 0.0858894, -168.648, 0.00274008, 178.264, 0.00275514, 58.3877, 0.0165413, -159.598
7, 2700.00000, 126.562, -150.133, 126.145, 89.905, 0.0704918, -161.604, 0.00163483, 178.428, 0.00164712, 58.5973, 0.0138686, -155.002
8, 0.00000, 126.531, -150.118, 126.062, 89.8807, 0.0672739, -147.866, 0.00314998, 178.271, 0.00316708, 58.3323, 0.0139915, -134.97
8, 900.00000, 126.563, -150.114, 126.059, 89.8851, 0.0707866, -148.237, 0.00263562, 178.31, 0.00265191, 58.3868, 0.0145213, -137.879
8, 1800.00000, 126.568, -150.121, 126.129, 89.8888, 0.0642213, -152.455, 0.0019907, 178.374, 0.00200422, 58.4946, 0.0129367, -143.674
8, 2700.00000, 126.613, -150.109, 126.122, 89.9017, 0.0708211, -152.193, 0.00200698, 178.383, 0.00202114, 58.5014, 0.0142496, -144.168
9, 0.00000, 126.521, -150.115, 125.996, 89.8811, 0.0748014, -146.649, 0.00390621, 178.238, 0.00392683, 58.2787, 0.0157602, -132.448
9, 900.00000, 126.545, -150.116, 126.083, 89.8908, 0.0685824, -150.508, 0.0032504, 178.268, 0.00326776, 58.3328, 0.0141307, -137.295
9, 1800.00000, 126.518, -150.13, 126.005, 89.8871, 0.0777576, -153.601, 0.00296466, 178.273, 0.00298206, 58.3492, 0.0156974, -142.798
9, 2700.00000, 126.379, -150.138, 125.828, 89.8437, 0.0781604, -142.139, 0.00545227, 178.172, 0.00547858, 58.181, 0.0173654, -124.219
10, 0.00000, 126.532, -150.118, 126.009, 89.8749, 0.0724496, -146.297, 0.00300894, 178.278, 0.00302686, 58.337, 0.0150404, -134.894
10, 900.00000, 126.372, -150.137, 125.913, 89.855, 0.0700288, -144.594, 0.00601563, 178.164, 0.00604031, 58.1801, 0.015892, -122.653
10, 1800.00000, 126.49, -150.131, 126.018, 89.8854, 0.0735833, -153.211, 0.00372255, 178.233, 0.00374138, 58.2919, 0.0150534, -138.982
10, 2700.00000, 126.425, -150.137, 125.881, 89.874, 0.08361, -150.451, 0.00515111, 178.184, 0.00517611, 58.2152, 0.017576, -133.509
11, 0.00000, 126.427, -150.143, 125.611, 89.8595, 0.114893, -148.635, 0.00441893, 178.194, 0.00444948, 58.2152, 0.0235866, -137.94
11, 900.00000, 126.422, -150.142, 125.567, 89.8525, 0.118055, -147.141, 0.00439555, 178.195, 0.00442709, 58.2087, 0.0243129, -136.847
11, 1800.00000, 126.451, -150.132, 125.749, 89.8696, 0.100698, -148.333, 0.00456987, 178.201, 0.00459804, 58.2248, 0.020874, -135.8
11, 2700.00000, 126.461, -150.156, 125.842, 89.8837, 0.0986993, -158.228, 0.0026649, 178.272, 0.00268328, 58.3668, 0.019566, -150.524
12, 0.00000, 126.502, -150.131, 125.936, 89.8907, 0.087165, -153.967, 0.00350161, 178.243, 0.00352197, 58.3055, 0.0176056, -142.583
