hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
0, 900.00000, 0.0568905, 0.0353134, 5.65497E-005, -2.62646E-005
0, 1800.00000, 0.063494, 0.0394078, 5.79907E-005, -2.78628E-005
0, 2700.00000, 0.0556327, 0.0345247, 4.708E-005, -2.24281E-005
1, 0.00000, 0.0613474, 0.0380668, 4.72532E-005, -2.32433E-005
1, 900.00000, 0.0600231, 0.0372419, 4.23524E-005, -2.17777E-005
1, 1800.00000, 0.0536698, 0.0333019, 4.14945E-005, -1.91788E-005
1, 2700.00000, 0.0653019, 0.0405107, 3.89215E-005, -2.15865E-005
2, 0.00000, 0.0568659, 0.0352801, 3.81745E-005, -1.87999E-005
2, 900.00000, 0.0544198, 0.0337607, 3.4123E-005, -1.75408E-005
2, 1800.00000, 0.0607124, 0.0376607, 3.28493E-005, -1.89656E-005
2, 2700.00000, 0.0523306, 0.0324618, 2.95664E-005, -1.58782E-005
3, 0.00000, 0.0542948, 0.0336822, 3.35247E-005, -1.67675E-005
3, 900.00000, 0.0588173, 0.0364855, 3.31474E-005, -1.79546E-005
3, 1800.00000, 0.0525698, 0.0326113, 3.13846E-005, -1.60927E-005
3, 2700.00000, 0.0631626, 0.0391784, 3.22253E-005, -1.89283E-005
4, 0.00000, 0.0695707, 0.0431498, 3.11106E-005, -2.02544E-005
4, 900.00000, 0.067702, 0.041996, 3.71943E-005, -2.08319E-005
4, 1800.00000, 0.0617668, 0.0383157, 3.58697E-005, -1.88899E-005
4, 2700.00000, 0.065526, 0.0406456, 3.53129E-005, -1.97674E-005
5, 0.00000, 0.0525663, 0.0326137, 3.55576E-005, -1.82169E-005
5, 900.00000, 0.0676701, 0.0419904, 4.86815E-005, -2.81598E-005
5, 1800.00000, 0.0542526, 0.0336915, 6.8295E-005, -3.25902E-005
5, 2700.00000, 0.0629707, 0.0391577, 0.000141185, -5.61977E-005
6, 0.00000, 0.0603344, 0.0375107, 0.000138879, -4.41141E-005
6, 900.00000, 0.0618767, 0.038491, 0.00017211, -5.11666E-005
6, 1800.00000, 0.0441551, 0.0274222, 6.43815E-005, -2.31034E-005
6, 2700.00000, 0.0512533, 0.0318129, 5.05391E-005, -2.25486E-005
7, 0.00000, 0.0564328, 0.0350339, 6.43048E-005, -2.59305E-005
7, 900.00000, 0.0531218, 0.0330038, 9.34522E-005, -3.16752E-005
7, 1800.00000, 0.0681784, 0.0423588, 0.000121221, -4.02355E-005
7, 2700.00000, 0.0408502, 0.0253602, 4.93214E-005, -1.77654E-005
8, 0.00000, 0.0784731, 0.0486872, 4.82357E-005, -3.11622E-005
8, 900.00000, 0.0657165, 0.0407759, 4.46192E-005, -2.66284E-005
8, 1800.00000, 0.0497069, 0.0308425, 3.63119E-005, -1.84476E-005
8, 2700.00000, 0.0501207, 0.0311049, 4.27999E-005, -2.07553E-005
9, 0.00000, 0.0972297, 0.0603311, 6.43865E-005, -4.43489E-005
9, 900.00000, 0.0809656, 0.0502413, 5.9623E-005, -3.45157E-005
9, 1800.00000, 0.0738349, 0.0458314, 7.23204E-005, -3.56007E-005
9, 2700.00000, 0.135479, 0.0840465, 6.17953E-005, -6.44212E-005
10, 0.00000, 0.0749715, 0.0465152, 4.5274E-005, -3.08492E-005
10, 900.00000, 0.149449, 0.0927122, 7.3181E-005, -7.05032E-005
10, 1800.00000, 0.0926297, 0.0574917, 8.28193E-005, -4.43551E-005
10, 2700.00000, 0.127994, 0.0794499, 0.00011784, -7.15843E-005
11, 0.00000, 0.109779, 0.0681798, 0.00013614, -7.56465E-005
11, 900.00000, 0.109199, 0.0678161, 0.000129097, -7.52007E-005
11, 1800.00000, 0.113572, 0.0705155, 0.000120983, -6.99652E-005
11, 2700.00000, 0.0663218, 0.0411986, 0.000103429, -4.07716E-005
12, 0.00000, 0.0871229, 0.0540953, 0.000101927, -4.81468E-005
12, 900.00000, 0.0847719, 0.0526543, 0.000120823, -5.36565E-005
12, 1800.00000, 0.0576538, 0.0358056, 8.06957E-005, -3.19125E-005
12, 2700.00000, 0.0576571, 0.0357949, 6.504E-005, -2.79048E-005
13, 0.00000, 0.0676408, 0.0419884, 6.82579E-005, -3.28869E-005
13, 900.00000, 0.0753794, 0.0468001, 8.77286E-005, -3.84515E-005
13, 1800.00000, 0.139972, 0.086902, 0.000150096, -8.39469E-005
13, 2700.00000, 0.0832964, 0.0517176, 9.80437E-005, -4.40752E-005
14, 0.00000, 0.108279, 0.067222, 0.000115144, -5.92118E-005
14, 900.00000, 0.0817624, 0.0507621, 9.22092E-005, -4.24665E-005
14, 1800.00000, 0.0686346, 0.0426225, 9.23215E-005, -3.75317E-005
14, 2700.00000, 0.0722179, 0.0448418, 8.84824E-005, -3.84744E-005
15, 0.00000, 0.0839733, 0.052131, 8.89468E-005, -4.3215E-005
15, 900.00000, 0.11735, 0.0728353, 9.98958E-005, -6.15198E-005
15, 1800.00000, 0.0837194, 0.0519786, 9.39853E-005, -4.55238E-005
15, 2700.00000, 0.0624661, 0.0387757, 6.10253E-005, -3.09757E-005
16, 0.00000, 0.061178, 0.0379856, 7.28412E-005, -3.245E-005
16, 900.00000, 0.056852, 0.0353072, 7.63465E-005, -3.27934E-005
16, 1800.00000, 0.066366, 0.0412173, 8.86863E-005, -4.02423E-005
16, 2700.00000, 0.108517, 0.0674014, 0.000152374, -6.99333E-005
17, 0.00000, 0.126631, 0.0786699, 0.000186897, -9.53329E-005
17, 900.00000, 0.124619, 0.0773917, 0.000133513, -9.36116E-005
17, 1800.00000, 0.254702, 0.158185, 0.000228109, -0.00026008
17, 2700.00000, 0.348097, 0.216377, 0.000487354, -0.000468493
18, 0.00000, 0.285476, 0.177498, 0.000416589, -0.000403478
18, 900.00000, 0.205941, 0.128152, 0.000455514, -0.000296715
18, 1800.00000, 0.265282, 0.165078, 0.000598406, -0.000384903
18, 2700.00000, 0.251209, 0.15641, 0.000674817, -0.000386136
19, 0.00000, 0.364594, 0.226936, 0.000894421, -0.00057223
19, 900.00000, 0.293629, 0.182784, 0.000757172, -0.000437904
19, 1800.00000, 0.280836, 0.174814, 0.000718444, -0.000411616
19, 2700.00000, 0.296164, 0.184244, 0.000613909, -0.000407724
20, 0.00000, 0.263142, 0.163695, 0.000557737, -0.000346592
20, 900.00000, 0.281374, 0.174978, 0.000503652, -0.000366555
20, 1800.00000, 0.275795, 0.171502, 0.000502576, -0.00035108
20, 2700.00000, 0.247366, 0.153787, 0.000423949, -0.000287354
21, 0.00000, 0.185988, 0.11564, 0.00034082, -0.000204648
21, 900.00000, 0.226657, 0.140897, 0.000385736, -0.000245842
21, 1800.00000, 0.311944, 0.19385, 0.000445434, -0.000348329
21, 2700.00000, 0.233146, 0.144911, 0.000379884, -0.000244034
22, 0.00000, 0.185789, 0.115471, 0.000305261, -0.00017949
22, 900.00000, 0.170766, 0.106161, 0.00032185, -0.000167096
22, 1800.00000, 0.155961, 0.0969263, 0.000260885, -0.000137615
22, 2700.00000, 0.158263, 0.0983215, 0.000220304, -0.000130137
23, 0.00000, 0.0987117, 0.0613154, 0.000137094, -6.79208E-005
23, 900.00000, 0.0770552, 0.0478647, 0.000111039, -5.11943E-005
23, 1800.00000, 0.0645251, 0.0400836, 9.85647E-005, -4.18588E-005
23, 2700.00000, 0.0716058, 0.0444694, 9.34097E-005, -4.25295E-005
24, 0.00000, 0.0568895, 0.0353128, 5.65552E-005, -2.62674E-005
