hour, t(sec), V1, VAngle1, V2, VAngle2, I1, IAngle1, I2, IAngle2
0, 900.00000, 126.578, -150.076, 0.113691, -27.864, 0.528996, 178.095, 0.548426, -2.95139
0, 1800.00000, 126.557, -150.079, 0.105774, -28.4651, 0.59048, 178.095, 0.608251, -2.80222
0, 2700.00000, 126.618, -150.067, 0.0977296, -28.3027, 0.517105, 178.11, 0.533608, -2.83035
1, 0.00000, 126.578, -150.076, 0.0899716, -28.8942, 0.570387, 178.104, 0.5853, -2.70225
1, 900.00000, 126.597, -150.071, 0.0833174, -29.8919, 0.557974, 178.111, 0.571591, -2.67956
1, 1800.00000, 126.614, -150.072, 0.0889491, -27.5639, 0.498858, 178.108, 0.513916, -2.75742
1, 2700.00000, 126.581, -150.073, 0.0719705, -31.5671, 0.607099, 178.113, 0.618404, -2.55362
2, 0.00000, 126.615, -150.07, 0.0785825, -28.8655, 0.528538, 178.114, 0.541502, -2.64657
2, 900.00000, 126.623, -150.069, 0.0740892, -29.8638, 0.505763, 178.117, 0.517855, -2.65858
2, 1800.00000, 126.613, -150.067, 0.0660224, -32.5567, 0.564275, 178.121, 0.574518, -2.55666
2, 2700.00000, 126.631, -150.068, 0.0675041, -30.878, 0.486306, 178.12, 0.497158, -2.64052
3, 0.00000, 126.629, -150.068, 0.0725763, -29.1993, 0.504575, 178.118, 0.516477, -2.62723
3, 900.00000, 126.61, -150.07, 0.0676302, -31.0076, 0.546674, 178.118, 0.557409, -2.56498
3, 1800.00000, 126.639, -150.066, 0.0705387, -29.789, 0.488503, 178.121, 0.500009, -2.64213
3, 2700.00000, 126.605, -150.068, 0.062639, -32.9343, 0.587074, 178.121, 0.596644, -2.50534
4, 0.00000, 126.591, -150.068, 0.0566892, -35.4973, 0.646692, 178.124, 0.65485, -2.43143
4, 900.00000, 126.611, -150.064, 0.0666565, -31.7292, 0.629246, 178.124, 0.63956, -2.47666
4, 1800.00000, 126.588, -150.075, 0.0692701, -30.3122, 0.574194, 178.112, 0.58524, -2.53971
4, 2700.00000, 126.612, -150.066, 0.0653628, -31.7244, 0.609016, 178.123, 0.619147, -2.48523
5, 0.00000, 126.638, -150.064, 0.0796493, -29.8681, 0.488491, 178.119, 0.501604, -2.74118
5, 900.00000, 126.585, -150.065, 0.087474, -32.7386, 0.629137, 178.114, 0.642926, -2.69141
5, 1800.00000, 126.611, -150.061, 0.143048, -28.8215, 0.504401, 178.098, 0.529, -3.3111
5, 2700.00000, 126.488, -150.089, 0.241379, -25.4243, 0.586241, 178.036, 0.629543, -3.71961
6, 0.00000, 126.22, -150.185, 0.239986, -21.1673, 0.562861, 177.945, 0.607187, -3.54508
6, 900.00000, 126.14, -150.21, 0.284661, -20.2721, 0.577704, 177.906, 0.630767, -3.71541
6, 1800.00000, 126.425, -150.133, 0.155666, -23.1924, 0.411133, 178.025, 0.439412, -3.45178
6, 2700.00000, 126.46, -150.115, 0.111508, -27.0884, 0.477019, 178.057, 0.496298, -3.04385
7, 0.00000, 126.404, -150.131, 0.126578, -24.9664, 0.525485, 178.037, 0.547773, -3.00492
7, 900.00000, 126.378, -150.143, 0.186539, -22.1163, 0.494859, 178.005, 0.528976, -3.39243
7, 1800.00000, 126.347, -150.146, 0.190633, -21.4533, 0.635278, 178.002, 0.669997, -3.09124
7, 2700.00000, 126.489, -150.12, 0.129875, -23.0983, 0.380127, 178.048, 0.403646, -3.28954
8, 0.00000, 126.437, -150.104, 0.0774075, -35.4519, 0.730403, 178.079, 0.741868, -2.58782
8, 900.00000, 126.479, -150.101, 0.0832106, -33.5553, 0.611477, 178.08, 0.624452, -2.72688
8, 1800.00000, 126.499, -150.11, 0.0854486, -29.8282, 0.462441, 178.071, 0.476652, -2.89611
8, 2700.00000, 126.54, -150.097, 0.0985152, -28.8564, 0.466164, 178.08, 0.482839, -2.98593
9, 0.00000, 126.408, -150.099, 0.0852254, -37.0971, 0.905214, 178.081, 0.917357, -2.53838
9, 900.00000, 126.447, -150.102, 0.0897609, -32.6808, 0.753576, 178.077, 0.767516, -2.6143
9, 1800.00000, 126.419, -150.115, 0.114111, -29.0018, 0.687418, 178.056, 0.706397, -2.7925
9, 2700.00000, 126.236, -150.12, 0.0702835, -48.593, 1.26297, 178.066, 1.27011, -2.40109
10, 0.00000, 126.442, -150.105, 0.0772627, -36.914, 0.697786, 178.078, 0.709076, -2.64391
10, 900.00000, 126.216, -150.119, 0.0725319, -46.2859, 1.3934, 178.067, 1.40101, -2.3536
10, 1800.00000, 126.377, -150.115, 0.106801, -30.7908, 0.862665, 178.059, 0.879668, -2.61887
10, 2700.00000, 126.277, -150.117, 0.113951, -33.7992, 1.19299, 178.054, 1.20998, -2.52179
11, 0.00000, 126.284, -150.121, 0.148738, -31.8398, 1.02331, 178.036, 1.04711, -2.78086
11, 900.00000, 126.281, -150.12, 0.143582, -33.0045, 1.01792, 178.038, 1.04054, -2.78313
11, 1800.00000, 126.31, -150.112, 0.129578, -32.6982, 1.05837, 178.053, 1.07856, -2.65715
11, 2700.00000, 126.353, -150.138, 0.171463, -24.6765, 0.617921, 178.014, 0.648387, -3.16211
12, 0.00000, 126.385, -150.113, 0.135148, -28.0576, 0.811416, 178.05, 0.834095, -2.77319
12, 900.00000, 126.338, -150.127, 0.161677, -26.8787, 0.789894, 178.028, 0.817689, -2.93306
12, 1800.00000, 126.448, -150.117, 0.153839, -24.7537, 0.536723, 178.041, 0.564076, -3.17655
12, 2700.00000, 126.502, -150.101, 0.126712, -26.2316, 0.536469, 178.066, 0.558539, -3.01029
13, 0.00000, 126.488, -150.098, 0.116734, -28.584, 0.629416, 178.072, 0.64906, -2.8591
13, 900.00000, 126.4, -150.122, 0.132187, -26.4991, 0.701948, 178.044, 0.724622, -2.83118
13, 1800.00000, 126.238, -150.121, 0.12979, -31.737, 1.30511, 178.044, 1.32504, -2.51933
13, 2700.00000, 126.404, -150.115, 0.134617, -26.9805, 0.775655, 178.049, 0.798525, -2.77441
14, 0.00000, 126.315, -150.122, 0.125801, -29.83, 1.00898, 178.045, 1.02922, -2.61581
14, 900.00000, 126.39, -150.119, 0.129598, -27.5055, 0.76144, 178.047, 0.783329, -2.77732
14, 1800.00000, 126.404, -150.126, 0.149759, -25.1097, 0.639157, 178.034, 0.665462, -2.98634
14, 2700.00000, 126.427, -150.116, 0.138568, -26.4038, 0.672381, 178.047, 0.696302, -2.90323
15, 0.00000, 126.409, -150.112, 0.123244, -28.6542, 0.781901, 178.056, 0.802383, -2.74131
15, 900.00000, 126.316, -150.113, 0.105774, -34.1549, 1.09342, 178.06, 1.10915, -2.52849
15, 1800.00000, 126.404, -150.112, 0.130318, -28.6339, 0.779586, 178.054, 0.801347, -2.7897
15, 2700.00000, 126.492, -150.099, 0.11401, -29.8663, 0.581241, 178.071, 0.600272, -2.9545
16, 0.00000, 126.455, -150.112, 0.134532, -27.072, 0.569463, 178.051, 0.592739, -3.05946
16, 900.00000, 126.444, -150.118, 0.149578, -26.4924, 0.529273, 178.04, 0.555505, -3.24727
16, 1800.00000, 126.405, -150.121, 0.15119, -27.5377, 0.618043, 178.036, 0.644151, -3.13103
16, 2700.00000, 126.31, -150.123, 0.161437, -27.3924, 1.01136, 178.032, 1.03853, -2.73925
17, 0.00000, 126.242, -150.124, 0.173499, -29.7735, 1.18089, 178.025, 1.20927, -2.74815
17, 900.00000, 126.309, -150.095, 0.138011, -37.7616, 1.1614, 178.064, 1.18151, -2.72577
17, 1800.00000, 125.945, -150.095, 0.144458, -51.2141, 2.38061, 178.063, 2.39476, -2.46716
17, 2700.00000, 125.647, -150.109, 0.205789, -46.3516, 3.26204, 178.026, 3.285, -2.48204
18, 0.00000, 125.844, -150.081, 0.215072, -46.6853, 2.67122, 178.048, 2.69654, -2.60131
18, 900.00000, 125.998, -150.099, 0.276346, -35.9778, 1.92509, 178.008, 1.9672, -2.8981
18, 1800.00000, 125.756, -150.136, 0.281597, -35.4891, 2.48458, 177.971, 2.52668, -2.73934
18, 2700.00000, 125.783, -150.14, 0.323448, -32.6168, 2.35264, 177.952, 2.40373, -2.83827
19, 0.00000, 125.456, -150.161, 0.306208, -35.2301, 3.42314, 177.94, 3.4676, -2.61998
19, 900.00000, 125.667, -150.151, 0.312324, -32.7544, 2.75229, 177.947, 2.80056, -2.71186
19, 1800.00000, 125.714, -150.146, 0.309022, -32.5339, 2.63137, 177.952, 2.67943, -2.72439
19, 2700.00000, 125.729, -150.128, 0.262075, -36.2101, 2.77419, 177.986, 2.81206, -2.62025
20, 0.00000, 125.842, -150.121, 0.262449, -34.5161, 2.46263, 177.994, 2.50203, -2.65819
20, 900.00000, 125.833, -150.105, 0.233696, -38.6343, 2.63321, 178.018, 2.66551, -2.58745
20, 1800.00000, 125.857, -150.105, 0.23457, -37.5211, 2.58047, 178.019, 2.61354, -2.58441
20, 2700.00000, 125.949, -150.103, 0.2185, -36.7163, 2.31263, 178.028, 2.34396, -2.58669
21, 0.00000, 126.145, -150.09, 0.224482, -33.7153, 1.73616, 178.038, 1.77093, -2.73224
21, 900.00000, 126.009, -150.104, 0.212812, -35.1076, 2.11795, 178.029, 2.1494, -2.59693
21, 1800.00000, 125.799, -150.106, 0.192087, -40.4607, 2.9195, 178.036, 2.94376, -2.43539
21, 2700.00000, 126.014, -150.101, 0.204463, -35.2688, 2.17843, 178.036, 2.20828, -2.55253
22, 0.00000, 126.156, -150.095, 0.200648, -33.0914, 1.73395, 178.043, 1.76488, -2.63632
22, 900.00000, 126.184, -150.101, 0.222534, -30.1515, 1.5935, 178.031, 1.62959, -2.71427
22, 1800.00000, 126.227, -150.1, 0.198394, -30.5085, 1.45473, 178.04, 1.48672, -2.69727
22, 2700.00000, 126.265, -150.086, 0.170373, -33.1883, 1.4756, 178.063, 1.50182, -2.61724
23, 0.00000, 126.424, -150.086, 0.161709, -29.1914, 0.919165, 178.067, 0.946128, -2.83611
23, 900.00000, 126.504, -150.079, 0.164075, -27.7847, 0.717061, 178.074, 0.745226, -3.03284
23, 1800.00000, 126.504, -150.089, 0.169889, -26.225, 0.600467, 178.062, 0.63032, -3.21491
23, 2700.00000, 126.527, -150.078, 0.148385, -27.466, 0.666185, 178.08, 0.691686, -2.98621
24, 0.00000, 126.578, -150.076, 0.113704, -27.8643, 0.528987, 178.095, 0.548419, -2.95154
