hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
0, 900.00000, 8.48013E-010, -9.57152E-007, -8.47071E-010, -5.24695E-010
0, 1800.00000, 7.84171E-010, -9.574E-007, -7.83926E-010, -4.76979E-010
0, 2700.00000, 7.25536E-010, -9.58339E-007, -7.2544E-010, -4.47006E-010
1, 0.00000, 6.65066E-010, -9.583E-007, -6.65472E-010, -3.95121E-010
1, 900.00000, 6.30587E-010, -9.58533E-007, -6.30607E-010, -4.00417E-010
1, 1800.00000, 6.42274E-010, -9.58935E-007, -6.42872E-010, -3.53008E-010
1, 2700.00000, 5.50216E-010, -9.58807E-007, -5.49853E-010, -3.53861E-010
2, 0.00000, 5.75371E-010, -9.5926E-007, -5.75551E-010, -3.28946E-010
2, 900.00000, 5.61742E-010, -9.59154E-007, -5.61653E-010, -3.50307E-010
2, 1800.00000, 5.19621E-010, -9.5913E-007, -5.1905E-010, -3.59882E-010
2, 2700.00000, 5.2658E-010, -9.59246E-007, -5.26031E-010, -3.46758E-010
3, 0.00000, 5.36597E-010, -9.59542E-007, -5.3608E-010, -3.09763E-010
3, 900.00000, 5.14453E-010, -9.59313E-007, -5.14516E-010, -3.2227E-010
3, 1800.00000, 5.32451E-010, -9.59518E-007, -5.32249E-010, -3.26884E-010
3, 2700.00000, 4.87443E-010, -9.59327E-007, -4.87588E-010, -3.28646E-010
4, 0.00000, 4.50633E-010, -9.59358E-007, -4.49979E-010, -3.23416E-010
4, 900.00000, 4.91851E-010, -9.59758E-007, -4.92414E-010, -3.0026E-010
4, 1800.00000, 5.12568E-010, -9.59264E-007, -5.13015E-010, -2.93299E-010
4, 2700.00000, 4.86521E-010, -9.59721E-007, -4.86642E-010, -2.97488E-010
5, 0.00000, 6.11933E-010, -9.58914E-007, -6.12592E-010, -4.03831E-010
5, 900.00000, 7.07421E-010, -9.57481E-007, -7.07252E-010, -5.45409E-010
5, 1800.00000, 1.11926E-009, -9.55288E-007, -1.11899E-009, -8.23383E-010
5, 2700.00000, 1.71767E-009, -9.52076E-007, -1.71774E-009, -1.00905E-009
6, 0.00000, 1.49616E-009, -9.52574E-007, -1.49564E-009, -3.81513E-010
6, 900.00000, 1.715E-009, -9.517E-007, -1.71495E-009, -3.26291E-010
6, 1800.00000, 1.06105E-009, -9.55051E-007, -1.06129E-009, -4.24911E-010
6, 2700.00000, 8.44303E-010, -9.55505E-007, -8.4334E-010, -4.76903E-010
7, 0.00000, 8.89023E-010, -9.55451E-007, -8.88979E-010, -3.85977E-010
7, 900.00000, 1.20409E-009, -9.54879E-007, -1.20339E-009, -3.80823E-010
7, 1800.00000, 1.16055E-009, -9.55871E-007, -1.16077E-009, -2.43791E-010
7, 2700.00000, 8.81459E-010, -9.56736E-007, -8.81303E-010, -3.2126E-010
8, 0.00000, 6.60638E-010, -9.55894E-007, -6.60667E-010, -4.8184E-010
8, 900.00000, 7.10718E-010, -9.55909E-007, -7.1085E-010, -5.09805E-010
8, 1800.00000, 6.98196E-010, -9.56415E-007, -6.97772E-010, -4.1407E-010
8, 2700.00000, 7.78918E-010, -9.56675E-007, -7.78677E-010, -4.6093E-010
9, 0.00000, 7.24071E-010, -9.55466E-007, -7.23733E-010, -5.47376E-010
9, 900.00000, 7.17772E-010, -9.56259E-007, -7.17913E-010, -4.54134E-010
9, 1800.00000, 8.66789E-010, -9.55421E-007, -8.66378E-010, -4.74157E-010
9, 2700.00000, 6.56667E-010, -9.53448E-007, -6.56562E-010, -6.22291E-010
10, 0.00000, 6.95515E-010, -9.55324E-007, -6.95199E-010, -5.45676E-010
10, 900.00000, 6.182E-010, -9.5441E-007, -6.17651E-010, -5.12073E-010
10, 1800.00000, 8.0652E-010, -9.55585E-007, -8.06522E-010, -4.43548E-010
10, 2700.00000, 8.69166E-010, -9.54405E-007, -8.68574E-010, -5.38773E-010
11, 0.00000, 1.17803E-009, -9.51822E-007, -1.17814E-009, -8.12772E-010
11, 900.00000, 1.17221E-009, -9.51345E-007, -1.1727E-009, -8.71347E-010
11, 1800.00000, 1.01638E-009, -9.53235E-007, -1.01599E-009, -7.09709E-010
11, 2700.00000, 1.18797E-009, -9.5383E-007, -1.18729E-009, -5.16884E-010
12, 0.00000, 9.77349E-010, -9.5501E-007, -9.7684E-010, -5.20806E-010
12, 900.00000, 1.15742E-009, -9.53554E-007, -1.15749E-009, -6.02666E-010
12, 1800.00000, 1.07194E-009, -9.55306E-007, -1.07148E-009, -4.86683E-010
12, 2700.00000, 9.13039E-010, -9.56358E-007, -9.1326E-010, -4.64539E-010
13, 0.00000, 8.81797E-010, -9.56072E-007, -8.81383E-010, -5.07772E-010
13, 900.00000, 9.33667E-010, -9.55636E-007, -9.33571E-010, -4.08654E-010
13, 1800.00000, 9.29112E-010, -9.54498E-007, -9.28465E-010, -4.93492E-010
13, 2700.00000, 9.46224E-010, -9.55821E-007, -9.461E-010, -4.23403E-010
14, 0.00000, 9.10197E-010, -9.54933E-007, -9.10407E-010, -4.64542E-010
14, 900.00000, 9.29518E-010, -9.55445E-007, -9.30022E-010, -4.41857E-010
14, 1800.00000, 1.03486E-009, -9.55391E-007, -1.03442E-009, -4.18076E-010
14, 2700.00000, 9.84478E-010, -9.55625E-007, -9.84193E-010, -4.49092E-010
15, 0.00000, 9.06414E-010, -9.55575E-007, -9.0572E-010, -4.70539E-010
15, 900.00000, 8.23842E-010, -9.54773E-007, -8.22996E-010, -5.26915E-010
15, 1800.00000, 9.64844E-010, -9.5509E-007, -9.64576E-010, -5.24589E-010
15, 2700.00000, 9.0903E-010, -9.55349E-007, -9.09167E-010, -5.87545E-010
16, 0.00000, 1.0016E-009, -9.55101E-007, -1.00159E-009, -5.33886E-010
16, 900.00000, 1.11217E-009, -9.54309E-007, -1.11188E-009, -5.92875E-010
16, 1800.00000, 1.14397E-009, -9.53549E-007, -1.14341E-009, -6.52524E-010
16, 2700.00000, 1.11783E-009, -9.54439E-007, -1.11752E-009, -5.10934E-010
17, 0.00000, 1.27465E-009, -9.52128E-007, -1.27468E-009, -7.47213E-010
17, 900.00000, 1.22272E-009, -9.50391E-007, -1.22213E-009, -1.11644E-009
17, 1800.00000, 1.36411E-009, -9.44911E-007, -1.36385E-009, -1.63465E-009
17, 2700.00000, 1.75725E-009, -9.41127E-007, -1.75754E-009, -1.90346E-009
18, 0.00000, 2.01119E-009, -9.38459E-007, -2.01142E-009, -2.41135E-009
18, 900.00000, 2.33221E-009, -9.39765E-007, -2.33208E-009, -2.21026E-009
18, 1800.00000, 2.2327E-009, -9.40101E-007, -2.2328E-009, -1.91111E-009
18, 2700.00000, 2.45703E-009, -9.40106E-007, -2.45663E-009, -1.89678E-009
19, 0.00000, 2.22811E-009, -9.40315E-007, -2.2279E-009, -1.6732E-009
