hour, t(sec), V1, VAngle1, V2, VAngle2, I1, IAngle1, I2, IAngle2
0, 900.00000, 125.875, 89.9341, 0.113691, -27.864, 1.5808, 58.2061, 1.57284, -120.984
0, 1800.00000, 125.918, 89.9318, 0.105774, -28.4651, 1.51148, 58.1998, 1.50412, -121.012
0, 2700.00000, 126.021, 89.9418, 0.0977296, -28.3027, 1.38359, 58.2055, 1.3768, -120.999
1, 0.00000, 126.047, 89.9342, 0.0899716, -28.8942, 1.31452, 58.1939, 1.30828, -121.036
1, 900.00000, 126.075, 89.9356, 0.0833174, -29.8919, 1.2374, 58.1917, 1.23182, -121.05
1, 1800.00000, 126.121, 89.9411, 0.0889491, -27.5639, 1.26207, 58.2004, 1.25565, -121.007
1, 2700.00000, 126.127, 89.9321, 0.0719705, -31.5671, 1.12584, 58.1822, 1.12119, -121.099
2, 0.00000, 126.169, 89.9406, 0.0785825, -28.8655, 1.1574, 58.1945, 1.15189, -121.041
2, 900.00000, 126.164, 89.9381, 0.0740892, -29.8638, 1.10531, 58.1894, 1.10032, -121.056
2, 1800.00000, 126.164, 89.9352, 0.0660224, -32.5567, 1.04364, 58.182, 1.03955, -121.107
2, 2700.00000, 126.187, 89.9363, 0.0675041, -30.878, 1.02624, 58.1841, 1.02185, -121.076
3, 0.00000, 126.211, 89.9412, 0.0725763, -29.1993, 1.07835, 58.1919, 1.07331, -121.051
3, 900.00000, 126.193, 89.9362, 0.0676302, -31.0076, 1.04638, 58.1841, 1.04193, -121.089
3, 1800.00000, 126.208, 89.941, 0.0705387, -29.789, 1.05349, 58.1905, 1.04872, -121.056
3, 2700.00000, 126.194, 89.9349, 0.062639, -32.9343, 1.00916, 58.1801, 1.00529, -121.123
4, 0.00000, 126.201, 89.9328, 0.0566892, -35.4973, 0.966171, 58.1747, 0.962943, -121.168
4, 900.00000, 126.222, 89.9425, 0.0666565, -31.7292, 1.05955, 58.1901, 1.05521, -121.103
4, 1800.00000, 126.195, 89.9341, 0.0692701, -30.3122, 1.06975, 58.1831, 1.06503, -121.088
4, 2700.00000, 126.226, 89.9409, 0.0653628, -31.7244, 1.0372, 58.1878, 1.03295, -121.104
5, 0.00000, 126.117, 89.9403, 0.0796493, -29.8681, 1.16715, 58.1944, 1.16188, -121.037
5, 900.00000, 125.922, 89.9304, 0.087474, -32.7386, 1.34126, 58.188, 1.33608, -121.078
5, 1800.00000, 125.567, 89.9366, 0.143048, -28.8215, 1.95063, 58.2234, 1.94128, -120.95
5, 2700.00000, 125.074, 89.9384, 0.241379, -25.4243, 3.07623, 58.2778, 3.05856, -120.84
6, 0.00000, 125.391, 89.8991, 0.239986, -21.1673, 2.9211, 58.2394, 2.90058, -120.846
6, 900.00000, 125.274, 89.8993, 0.284661, -20.2721, 3.37733, 58.2632, 3.35252, -120.8
6, 1800.00000, 125.718, 89.9075, 0.155666, -23.1924, 1.97021, 58.2024, 1.95764, -120.914
6, 2700.00000, 125.796, 89.9004, 0.111508, -27.0884, 1.5428, 58.1715, 1.53472, -121.016
7, 0.00000, 125.797, 89.8997, 0.126578, -24.9664, 1.70321, 58.1793, 1.69331, -120.987
7, 900.00000, 125.657, 89.9156, 0.186539, -22.1163, 2.31388, 58.2268, 2.29834, -120.873
