hour, t(sec), V1, VAngle1, V2, VAngle2, I1, IAngle1, I2, IAngle2
0, 900.00000, 125.923, 89.9321, 0.0275604, -51.6121, 0.257409, 58.1516, 0.257409, -121.848
0, 1800.00000, 125.963, 89.93, 0.0247915, -49.4663, 0.287185, 58.149, 0.287185, -121.851
0, 2700.00000, 126.063, 89.9401, 0.0232582, -50.2045, 0.251418, 58.1585, 0.251418, -121.842
1, 0.00000, 126.086, 89.9327, 0.0204698, -47.4866, 0.277178, 58.1507, 0.277178, -121.849
1, 900.00000, 126.111, 89.9342, 0.0187181, -50.8371, 0.271122, 58.1512, 0.271122, -121.849
1, 1800.00000, 126.159, 89.9396, 0.0208868, -44.6793, 0.24235, 58.1579, 0.24235, -121.842
1, 2700.00000, 126.16, 89.931, 0.0150246, -49.7086, 0.294829, 58.1472, 0.294829, -121.853
2, 0.00000, 126.203, 89.9393, 0.017709, -44.949, 0.256672, 58.1565, 0.256672, -121.843
2, 900.00000, 126.197, 89.9369, 0.0164646, -50.2453, 0.245632, 58.1534, 0.245632, -121.847
2, 1800.00000, 126.194, 89.9341, 0.0137368, -55.0902, 0.274019, 58.1494, 0.274019, -121.851
2, 2700.00000, 126.217, 89.9352, 0.0147055, -54.1124, 0.236153, 58.1508, 0.236153, -121.849
3, 0.00000, 126.243, 89.94, 0.0161636, -45.5379, 0.24498, 58.1567, 0.24498, -121.843
3, 900.00000, 126.223, 89.9351, 0.0142985, -48.8685, 0.265412, 58.1511, 0.265412, -121.849
3, 1800.00000, 126.239, 89.9398, 0.0156485, -49.1584, 0.237198, 58.1561, 0.237198, -121.844
3, 2700.00000, 126.223, 89.934, 0.0125697, -51.8337, 0.285007, 58.1493, 0.285007, -121.851
4, 0.00000, 126.228, 89.932, 0.0103881, -53.8851, 0.313892, 58.1465, 0.313892, -121.854
4, 900.00000, 126.252, 89.9416, 0.0137888, -42.8972, 0.305429, 58.1577, 0.305429, -121.842
4, 1800.00000, 126.226, 89.9331, 0.0146552, -43.2507, 0.278721, 58.1496, 0.278721, -121.85
4, 2700.00000, 126.256, 89.94, 0.0135172, -43.8524, 0.295603, 58.156, 0.295603, -121.844
5, 0.00000, 126.151, 89.939, 0.0183838, -53.9786, 0.237352, 58.1556, 0.237352, -121.844
5, 900.00000, 125.961, 89.9289, 0.0199007, -63.2899, 0.306008, 58.1448, 0.306008, -121.855
