hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
0, 900.00000, 0.158047, 0.0977145, -9.70913E-005, 0.000173852
0, 1800.00000, 0.151159, 0.0934742, -8.72197E-005, 0.000152078
0, 2700.00000, 0.138476, 0.0856449, -7.36891E-005, 0.000129864
1, 0.00000, 0.131587, 0.0813995, -6.4832E-005, 0.000110573
1, 900.00000, 0.123896, 0.0766455, -6.11624E-005, 0.000100754
1, 1800.00000, 0.126403, 0.0782027, -5.55887E-005, 0.000100403
1, 2700.00000, 0.11277, 0.0697775, -5.139E-005, 7.93317E-005
2, 0.00000, 0.115961, 0.0717533, -4.86079E-005, 8.29195E-005
2, 900.00000, 0.110743, 0.0685235, -4.83491E-005, 7.9291E-005
2, 1800.00000, 0.104567, 0.0647041, -4.73786E-005, 7.12914E-005
2, 2700.00000, 0.102839, 0.0636363, -4.42457E-005, 6.98955E-005
3, 0.00000, 0.108076, 0.0668809, -4.28285E-005, 7.19512E-005
3, 900.00000, 0.104861, 0.0648916, -4.35232E-005, 6.83137E-005
3, 1800.00000, 0.105585, 0.0653377, -4.3286E-005, 7.12057E-005
3, 2700.00000, 0.101134, 0.0625866, -4.30685E-005, 6.37685E-005
4, 0.00000, 0.0968306, 0.0599274, -4.14951E-005, 5.72143E-005
4, 900.00000, 0.106202, 0.0657256, -4.26042E-005, 6.58464E-005
4, 1800.00000, 0.107201, 0.0663437, -4.20572E-005, 6.73233E-005
4, 2700.00000, 0.103965, 0.0643427, -4.11744E-005, 6.36038E-005
5, 0.00000, 0.116905, 0.0723218, -5.6558E-005, 9.38463E-005
5, 900.00000, 0.134163, 0.0829602, -8.6245E-005, 0.000132006
5, 1800.00000, 0.194604, 0.120192, -0.000175055, 0.000304872
5, 2700.00000, 0.305739, 0.188579, -0.000338899, 0.000690353
6, 0.00000, 0.290862, 0.179707, -0.000153984, 0.000457623
6, 900.00000, 0.335941, 0.207507, -0.000162657, 0.000584274
6, 1800.00000, 0.196706, 0.121606, -0.000103473, 0.000237669
6, 2700.00000, 0.154145, 0.0953169, -8.91638E-005, 0.000160266
7, 0.00000, 0.170151, 0.105224, -8.54052E-005, 0.000172873
7, 900.00000, 0.230891, 0.142715, -0.00011432, 0.000303382
7, 1800.00000, 0.236833, 0.146441, -8.91278E-005, 0.000280274
7, 2700.00000, 0.164346, 0.101654, -6.66672E-005, 0.000160562
8, 0.00000, 0.124228, 0.0768365, -7.32613E-005, 0.00010901
8, 900.00000, 0.125613, 0.0776823, -7.46877E-005, 0.000119104
8, 1800.00000, 0.11976, 0.0740811, -5.74954E-005, 0.000104182
8, 2700.00000, 0.134062, 0.0829089, -6.95877E-005, 0.000132437
9, 0.00000, 0.138556, 0.085675, -9.17865E-005, 0.000136847
9, 900.00000, 0.136283, 0.0842888, -7.55308E-005, 0.000125397
9, 1800.00000, 0.160424, 0.0991922, -9.14459E-005, 0.000171601
9, 2700.00000, 0.13655, 0.0844283, -0.000108662, 0.000130429
10, 0.00000, 0.122381, 0.0756804, -7.79614E-005, 0.000116844
10, 900.00000, 0.142248, 0.0879742, -0.000100079, 0.000120545
10, 1800.00000, 0.158806, 0.0982059, -8.93458E-005, 0.000157482
10, 2700.00000, 0.181309, 0.112084, -0.000127018, 0.00020162
11, 0.00000, 0.218126, 0.134707, -0.000207774, 0.000346549
11, 900.00000, 0.214324, 0.132344, -0.000217336, 0.000347312
11, 1800.00000, 0.198993, 0.122949, -0.000172582, 0.000271593
11, 2700.00000, 0.222058, 0.137221, -0.000140207, 0.000309059
12, 0.00000, 0.191279, 0.11824, -0.000124416, 0.000230263
