hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
0, 900.00000, 0.0322918, 0.0200205, 0.0322271, 0.0200068, 7.89565E-006, -3.72583E-005
0, 1800.00000, 0.0360348, 0.0223401, 0.0359688, 0.0223268, 7.81916E-006, -3.81311E-005
0, 2700.00000, 0.0315696, 0.0195716, 0.0315158, 0.0195606, 6.46242E-006, -3.11145E-005
1, 0.00000, 0.0348076, 0.0215778, 0.0347542, 0.0215674, 6.10115E-006, -3.08497E-005
1, 900.00000, 0.0340528, 0.0211107, 0.0340023, 0.0210993, 6.61697E-006, -2.91551E-005
1, 1800.00000, 0.0304509, 0.0188757, 0.0304067, 0.0188686, 4.19293E-006, -2.55471E-005
1, 2700.00000, 0.0370404, 0.0229622, 0.0369928, 0.022951, 6.53085E-006, -2.75172E-005
2, 0.00000, 0.0322587, 0.0199965, 0.0322164, 0.0199889, 4.43676E-006, -2.43906E-005
2, 900.00000, 0.0308695, 0.0191364, 0.0308291, 0.0191274, 5.20255E-006, -2.32951E-005
2, 1800.00000, 0.0344344, 0.0213475, 0.0343915, 0.0213359, 6.71338E-006, -2.47206E-005
2, 2700.00000, 0.0296815, 0.0184005, 0.0296447, 0.0183912, 5.36719E-006, -2.12302E-005
3, 0.00000, 0.0307975, 0.0190906, 0.03076, 0.0190836, 4.10155E-006, -2.16817E-005
3, 900.00000, 0.0333601, 0.02068, 0.0333203, 0.0206709, 5.21903E-006, -2.29612E-005
3, 1800.00000, 0.0298183, 0.0184843, 0.0297815, 0.0184764, 4.58918E-006, -2.12131E-005
3, 2700.00000, 0.0358217, 0.0222066, 0.0357803, 0.0221959, 6.19423E-006, -2.38509E-005
4, 0.00000, 0.0394515, 0.0244573, 0.0394088, 0.024445, 7.13705E-006, -2.46404E-005
4, 900.00000, 0.0383975, 0.0238017, 0.0383537, 0.0237929, 5.13111E-006, -2.52583E-005
4, 1800.00000, 0.0350333, 0.0217159, 0.0349928, 0.0217083, 4.40898E-006, -2.33385E-005
4, 2700.00000, 0.0371629, 0.0230365, 0.0371212, 0.0230279, 5.00563E-006, -2.4109E-005
5, 0.00000, 0.0298209, 0.0184876, 0.0297772, 0.0184768, 6.1083E-006, -2.51378E-005
