hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
0, 900.00000, 0.67619, 0.418266, 0.676586, 0.419453, 0.67536, 0.419203, 1.58277E-007, 1.856E-006
0, 1800.00000, 0.692334, 0.428327, 0.692694, 0.42943, 0.691557, 0.429196, 1.15114E-007, 1.59679E-006
0, 2700.00000, 0.582616, 0.360491, 0.582903, 0.361357, 0.582006, 0.361177, 9.67559E-008, 1.16168E-006
1, 0.00000, 0.671642, 0.415646, 0.671927, 0.416536, 0.671013, 0.416342, 5.65936E-008, 1.08621E-006
1, 900.00000, 0.643207, 0.398061, 0.643442, 0.398896, 0.642599, 0.398685, 5.15079E-008, 9.69E-007
1, 1800.00000, 0.6199, 0.383664, 0.620185, 0.384431, 0.61938, 0.384298, 5.04785E-008, 9.01677E-007
1, 2700.00000, 0.669481, 0.414399, 0.669661, 0.415151, 0.668916, 0.414933, 1.69648E-008, 7.59165E-007
2, 0.00000, 0.608777, 0.376827, 0.609005, 0.37751, 0.6083, 0.377368, 3.03781E-008, 7.13877E-007
2, 900.00000, 0.627207, 0.388226, 0.627406, 0.388941, 0.626686, 0.388756, 2.74185E-008, 7.36741E-007
2, 1800.00000, 0.628235, 0.388875, 0.628376, 0.389571, 0.627701, 0.389346, 1.98735E-008, 6.67984E-007
2, 2700.00000, 0.642784, 0.397887, 0.642947, 0.39859, 0.642257, 0.398382, 1.83361E-008, 6.83598E-007
3, 0.00000, 0.602835, 0.373179, 0.603035, 0.37381, 0.60239, 0.37367, 2.06222E-008, 6.14182E-007
3, 900.00000, 0.638669, 0.395364, 0.638837, 0.396027, 0.638178, 0.395842, 1.09721E-008, 6.22017E-007
3, 1800.00000, 0.597576, 0.369913, 0.597758, 0.370554, 0.597112, 0.370392, 2.23603E-008, 6.2252E-007
3, 2700.00000, 0.631822, 0.391133, 0.631953, 0.391776, 0.631328, 0.391569, 8.1163E-009, 5.74991E-007
4, 0.00000, 0.633256, 0.392042, 0.633348, 0.392655, 0.63277, 0.39243, 1.06989E-009, 5.06795E-007
4, 900.00000, 0.546272, 0.338185, 0.546427, 0.338726, 0.545882, 0.338591, 1.69138E-008, 4.71953E-007
4, 1800.00000, 0.672288, 0.416199, 0.672482, 0.416863, 0.671812, 0.416699, 2.01583E-009, 6.1148E-007
4, 2700.00000, 0.568702, 0.352078, 0.568853, 0.352631, 0.568297, 0.352486, 1.22075E-008, 4.8221E-007
5, 0.00000, 0.58998, 0.365119, 0.590192, 0.365888, 0.589422, 0.365682, 5.43088E-008, 8.58524E-007
5, 900.00000, 0.628628, 0.388889, 0.628835, 0.389924, 0.627836, 0.389578, 1.17148E-007, 1.36579E-006
5, 1800.00000, 0.572768, 0.353972, 0.573181, 0.355451, 0.571693, 0.355072, 4.30084E-007, 3.12423E-006
5, 2700.00000, 0.642919, 0.396901, 0.643899, 0.399199, 0.641419, 0.398906, 1.02538E-006, 7.36755E-006
