hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
0, 900.00000, 125.978, -30.1948, 126.511, -150.073, 126.088, 89.9319, 0.114508, -140.375, 6.31139, -61.9342, 6.29242, 178.13, 6.30422, 58.1036, 0.0162673, 134.499
0, 1800.00000, 125.997, -30.1849, 126.487, -150.074, 126.104, 89.9315, 0.10429, -140.121, 6.46141, -61.9288, 6.44338, 178.13, 6.45435, 58.1068, 0.0153508, 134.002
0, 2700.00000, 126.115, -30.1688, 126.569, -150.065, 126.21, 89.9394, 0.0977082, -140.381, 5.43252, -61.9157, 5.41857, 178.139, 5.4272, 58.1168, 0.0119305, 134.38
1, 0.00000, 126.085, -30.1611, 126.499, -150.069, 126.181, 89.9367, 0.0865163, -139.73, 6.26443, -61.9124, 6.24954, 178.136, 6.25831, 58.1184, 0.012572, 133.252
1, 900.00000, 126.129, -30.1547, 126.523, -150.064, 126.207, 89.9376, 0.083913, -137.742, 5.99717, -61.9068, 5.98356, 178.139, 5.99196, 58.1211, 0.011564, 135.301
1, 1800.00000, 126.141, -30.1517, 126.54, -150.066, 126.248, 89.9435, 0.0818779, -142.295, 5.77943, -61.9056, 5.76632, 178.141, 5.77367, 58.1257, 0.0110297, 130.909
1, 2700.00000, 126.154, -30.1421, 126.496, -150.064, 126.221, 89.9369, 0.072055, -135.576, 6.24122, -61.899, 6.22872, 178.14, 6.23634, 58.1252, 0.0105385, 135.704
2, 0.00000, 126.187, -30.1406, 126.543, -150.063, 126.277, 89.9437, 0.0734048, -140.347, 5.67385, -61.8977, 5.66226, 178.143, 5.66887, 58.1297, 0.00973401, 132.09
2, 900.00000, 126.187, -30.1395, 126.538, -150.06, 126.261, 89.9422, 0.0734595, -137.441, 5.84557, -61.896, 5.8337, 178.144, 5.84087, 58.1293, 0.0100362, 134.69
2, 1800.00000, 126.207, -30.1351, 126.532, -150.058, 126.257, 89.9392, 0.0702644, -133.51, 5.85427, -61.8925, 5.84311, 178.145, 5.85032, 58.1289, 0.00951093, 138.194
2, 2700.00000, 126.202, -30.1337, 126.531, -150.057, 126.262, 89.9419, 0.0696114, -134.984, 5.99015, -61.8915, 5.97856, 178.146, 5.9858, 58.1313, 0.00982373, 136.552
