hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
0, 900.00000, 126.663, -150.09, 126.117, 89.9189, 0.0780945, -151.135, 0.00229065, 178.122, 0.00229847, 58.0996, 0.00229379, -62.0582
0, 1800.00000, 126.646, -150.093, 126.149, 89.9172, 0.0724339, -151.462, 0.00255659, 178.12, 0.00256449, 58.0999, 0.00255978, -62.0434
0, 2700.00000, 126.697, -150.08, 126.233, 89.9284, 0.0670445, -151.147, 0.00223892, 178.132, 0.0022454, 58.1133, 0.00224153, -62.0208
1, 0.00000, 126.66, -150.088, 126.248, 89.9214, 0.0614494, -151.969, 0.00246935, 178.124, 0.00247565, 58.1085, 0.00247192, -62.0101
1, 900.00000, 126.677, -150.083, 126.269, 89.9232, 0.0596836, -150.583, 0.00241553, 178.129, 0.00242163, 58.1113, 0.00241794, -62.0051
1, 1800.00000, 126.688, -150.084, 126.309, 89.9294, 0.0575639, -153.554, 0.00215977, 178.13, 0.00216484, 58.1176, 0.00216192, -61.9928
1, 2700.00000, 126.661, -150.085, 126.307, 89.9206, 0.0530808, -150.308, 0.00262787, 178.127, 0.0026336, 58.1114, 0.00263011, -61.9888
2, 0.00000, 126.69, -150.081, 126.344, 89.9294, 0.0526823, -152.697, 0.00228804, 178.132, 0.00229291, 58.1198, 0.00229006, -61.9797
2, 900.00000, 126.695, -150.079, 126.337, 89.9271, 0.0529563, -151.026, 0.00218946, 178.133, 0.0021943, 58.1178, 0.00219139, -61.9842
2, 1800.00000, 126.688, -150.077, 126.335, 89.9241, 0.0514551, -148.786, 0.00244252, 178.134, 0.00244783, 58.1159, 0.00244452, -61.9831
2, 2700.00000, 126.699, -150.078, 126.351, 89.9258, 0.0507588, -149.978, 0.00210518, 178.134, 0.00210971, 58.1175, 0.00210693, -61.981
3, 0.00000, 126.699, -150.079, 126.376, 89.9307, 0.0493638, -152.52, 0.00218427, 178.134, 0.00218862, 58.1225, 0.00218607, -61.9705
3, 900.00000, 126.684, -150.08, 126.358, 89.9256, 0.0491056, -150.911, 0.00236636, 178.132, 0.0023711, 58.1179, 0.00236824, -61.9744
3, 1800.00000, 126.707, -150.076, 126.372, 89.9305, 0.0499582, -151.325, 0.00211471, 178.136, 0.00211908, 58.1223, 0.00211646, -61.9734
3, 2700.00000, 126.681, -150.079, 126.358, 89.9243, 0.048167, -149.35, 0.00254107, 178.133, 0.00254611, 58.1172, 0.00254299, -61.9732
4, 0.00000, 126.671, -150.078, 126.363, 89.9221, 0.0461649, -147.967, 0.00279885, 178.133, 0.00280412, 58.1161, 0.00280079, -61.9691
4, 900.00000, 126.692, -150.075, 126.389, 89.9318, 0.0469313, -151.088, 0.00272351, 178.137, 0.00272854, 58.1247, 0.00272553, -61.9608
4, 1800.00000, 126.664, -150.086, 126.359, 89.9236, 0.0477014, -152.727, 0.00248542, 178.127, 0.00249004, 58.1162, 0.00248733, -61.9706
4, 2700.00000, 126.69, -150.076, 126.39, 89.9304, 0.0464097, -151.124, 0.00263599, 178.136, 0.00264082, 58.1236, 0.00263793, -61.9613
5, 0.00000, 126.71, -150.075, 126.302, 89.9285, 0.0584337, -149.825, 0.00211481, 178.136, 0.00212014, 58.1174, 0.00211688, -61.9982
5, 900.00000, 126.673, -150.079, 126.148, 89.9156, 0.0721553, -146.396, 0.00272359, 178.131, 0.00273245, 58.1004, 0.00272679, -62.0457
5, 1800.00000, 126.704, -150.078, 125.882, 89.9166, 0.108846, -147.349, 0.00218479, 178.131, 0.00219613, 58.0867, 0.00218901, -62.1482
5, 2700.00000, 126.615, -150.113, 125.524, 89.9107, 0.152069, -152.156, 0.0025407, 178.101, 0.00255825, 58.0611, 0.00254798, -62.2608
6, 0.00000, 126.339, -150.206, 125.743, 89.8789, 0.112203, -166.957, 0.00243894, 178.02, 0.00244792, 58.0407, 0.0024442, -62.1518
6, 900.00000, 126.271, -150.234, 125.663, 89.8775, 0.124304, -170.415, 0.00250381, 177.998, 0.00251316, 58.0333, 0.00250986, -62.1694
6, 1800.00000, 126.508, -150.149, 125.978, 89.892, 0.086078, -160.177, 0.0017809, 178.07, 0.00178678, 58.0669, 0.00178376, -62.0951
6, 2700.00000, 126.54, -150.129, 126.026, 89.8861, 0.0760993, -153.65, 0.00206568, 178.085, 0.00207231, 58.0668, 0.00206844, -62.0833
7, 0.00000, 126.491, -150.145, 126.033, 89.8853, 0.0747179, -158.656, 0.00227556, 178.071, 0.00228202, 58.0654, 0.00227859, -62.0723
7, 900.00000, 126.477, -150.16, 125.948, 89.8985, 0.0930499, -163.8, 0.0021437, 178.061, 0.00215068, 58.0695, 0.00214746, -62.096
7, 1800.00000, 126.459, -150.164, 126.041, 89.9091, 0.0856301, -168.766, 0.00275161, 178.06, 0.00275865, 58.0823, 0.00275606, -62.0555
7, 2700.00000, 126.562, -150.133, 126.146, 89.905, 0.0702727, -161.716, 0.00164635, 178.085, 0.00165061, 58.0865, 0.00164852, -62.0426
8, 0.00000, 126.531, -150.118, 126.062, 89.8807, 0.0670586, -147.999, 0.00316152, 178.093, 0.00317066, 58.0669, 0.00316487, -62.0636
8, 900.00000, 126.563, -150.114, 126.059, 89.8851, 0.0705606, -148.362, 0.00264715, 178.097, 0.00265546, 58.0695, 0.00265022, -62.0725
