hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
0, 900.00000, 1.55696, 1.28289, 1.7094, 0.82595, 2.02891, 1.18641, 0, 0
0, 1800.00000, 1.55186, 1.25113, 1.68656, 0.835576, 1.9791, 1.15998, 0, 0
0, 2700.00000, 1.36826, 1.11674, 1.49609, 0.729935, 1.76716, 1.03401, 0, 0
1, 0.00000, 1.43192, 1.12868, 1.53952, 0.782067, 1.7859, 1.04853, 0, 0
1, 900.00000, 1.36711, 1.07572, 1.48549, 0.747841, 1.71026, 1.01427, 0, 0
1, 1800.00000, 1.33682, 1.06246, 1.42272, 0.725188, 1.67186, 0.968197, 0, 0
1, 2700.00000, 1.35103, 1.03084, 1.45653, 0.753739, 1.64376, 0.983636, 0, 0
2, 0.00000, 1.28355, 1.00145, 1.36799, 0.704951, 1.58256, 0.92631, 0, 0
2, 900.00000, 1.27721, 0.993541, 1.37879, 0.703428, 1.57925, 0.936435, 0, 0
2, 1800.00000, 1.26527, 0.967744, 1.38138, 0.705093, 1.55079, 0.936952, 0, 0
2, 2700.00000, 1.25414, 0.965897, 1.3615, 0.69545, 1.54204, 0.923639, 0, 0
3, 0.00000, 1.23673, 0.95739, 1.31766, 0.682608, 1.51517, 0.89007, 0, 0
3, 900.00000, 1.26964, 0.968033, 1.36301, 0.708193, 1.54135, 0.91896, 0, 0
3, 1800.00000, 1.21985, 0.94662, 1.31273, 0.672595, 1.5036, 0.890024, 0, 0
3, 2700.00000, 1.25518, 0.947389, 1.35783, 0.704948, 1.51646, 0.915056, 0, 0
4, 0.00000, 1.25014, 0.927296, 1.35678, 0.709912, 1.49172, 0.910945, 0, 0
4, 900.00000, 1.19742, 0.911559, 1.27958, 0.668159, 1.4493, 0.860999, 0, 0
4, 1800.00000, 1.31684, 0.994527, 1.39203, 0.738413, 1.57624, 0.931576, 0, 0
4, 2700.00000, 1.20718, 0.915866, 1.28938, 0.675085, 1.45681, 0.866643, 0, 0
5, 0.00000, 1.27281, 1.01322, 1.39777, 0.690939, 1.6144, 0.960277, 0, 0
5, 900.00000, 1.43723, 1.15127, 1.63114, 0.779247, 1.85637, 1.13317, 0, 0
5, 1800.00000, 1.64931, 1.45816, 1.93462, 0.832968, 2.3334, 1.39259, 0, 0
5, 2700.00000, 2.23932, 2.06446, 2.51837, 1.09123, 3.22172, 1.81941, 0, 0
6, 0.00000, 2.86057, 2.34032, 2.79124, 1.52295, 3.53383, 1.8715, 0, 0
6, 900.00000, 3.15973, 2.6116, 3.01061, 1.6696, 3.90105, 2.01137, 0, 0
6, 1800.00000, 2.17691, 1.75057, 2.22665, 1.17299, 2.702, 1.5048, 0, 0
6, 2700.00000, 1.97593, 1.5395, 2.10404, 1.08967, 2.42956, 1.42549, 0, 0
7, 0.00000, 2.10993, 1.63553, 2.17004, 1.16552, 2.54704, 1.45255, 0, 0
7, 900.00000, 2.29707, 1.87691, 2.28742, 1.22246, 2.85905, 1.54126, 0, 0
7, 1800.00000, 2.244, 1.81779, 2.1531, 1.19844, 2.73497, 1.42934, 0, 0
7, 2700.00000, 1.89745, 1.50431, 1.91936, 1.03043, 2.31882, 1.28631, 0, 0
8, 0.00000, 1.85467, 1.38383, 2.02487, 1.0527, 2.22654, 1.36563, 0, 0
8, 900.00000, 1.82029, 1.38751, 1.99989, 1.01971, 2.22862, 1.35912, 0, 0
8, 1800.00000, 1.81762, 1.38261, 1.94184, 1.01756, 2.19588, 1.30763, 0, 0
8, 2700.00000, 1.71702, 1.35419, 1.85251, 0.938978, 2.14436, 1.26389, 0, 0
9, 0.00000, 1.88333, 1.42265, 2.08113, 1.06188, 2.29466, 1.41353, 0, 0
9, 900.00000, 1.81703, 1.38166, 1.95759, 1.01817, 2.20211, 1.32161, 0, 0
9, 1800.00000, 2.00141, 1.55698, 2.12512, 1.10489, 2.45479, 1.43803, 0, 0
9, 2700.00000, 2.23728, 1.60427, 2.49568, 1.30442, 2.62615, 1.67809, 0, 0
10, 0.00000, 1.90388, 1.43096, 2.11057, 1.07711, 2.31368, 1.433, 0, 0
10, 900.00000, 2.15891, 1.5325, 2.35181, 1.26364, 2.48819, 1.5651, 0, 0
10, 1800.00000, 1.99854, 1.52449, 2.11287, 1.11716, 2.40847, 1.4198, 0, 0
10, 2700.00000, 2.16494, 1.64357, 2.32302, 1.216, 2.61428, 1.56664, 0, 0
11, 0.00000, 2.4467, 1.95588, 2.71894, 1.3334, 3.12191, 1.88033, 0, 0
11, 900.00000, 2.47959, 1.97624, 2.79056, 1.35559, 3.17258, 1.93514, 0, 0
11, 1800.00000, 2.23838, 1.7578, 2.47403, 1.23287, 2.81082, 1.69935, 0, 0
11, 2700.00000, 2.35937, 1.90932, 2.44171, 1.26795, 2.95601, 1.65988, 0, 0
12, 0.00000, 2.06411, 1.63681, 2.18866, 1.12523, 2.56944, 1.48884, 0, 0
12, 900.00000, 2.31661, 1.86801, 2.45671, 1.24994, 2.92195, 1.68025, 0, 0
12, 1800.00000, 2.04802, 1.67272, 2.13387, 1.09227, 2.59365, 1.4568, 0, 0
12, 2700.00000, 1.81441, 1.46519, 1.91876, 0.975372, 2.29079, 1.31061, 0, 0
13, 0.00000, 1.81909, 1.45369, 1.95873, 0.986289, 2.2937, 1.34088, 0, 0
13, 900.00000, 2.048, 1.60971, 2.11452, 1.12107, 2.50446, 1.42296, 0, 0
13, 1800.00000, 2.21589, 1.69346, 2.32973, 1.23795, 2.66731, 1.56425, 0, 0
13, 2700.00000, 1.99355, 1.57909, 2.06532, 1.08554, 2.45688, 1.39443, 0, 0
14, 0.00000, 2.14144, 1.64952, 2.24485, 1.18966, 2.59141, 1.50911, 0, 0
14, 900.00000, 2.05091, 1.60917, 2.13853, 1.12474, 2.51426, 1.4428, 0, 0
14, 1800.00000, 2.10586, 1.68791, 2.15816, 1.13719, 2.60898, 1.4578, 0, 0
14, 2700.00000, 2.00766, 1.60731, 2.08982, 1.08567, 2.50051, 1.4176, 0, 0
15, 0.00000, 1.98249, 1.5576, 2.0934, 1.0868, 2.44568, 1.41822, 0, 0
15, 900.00000, 2.08654, 1.58014, 2.24786, 1.17369, 2.5192, 1.51658, 0, 0
15, 1800.00000, 2.03397, 1.61456, 2.16687, 1.10822, 2.53894, 1.47645, 0, 0
15, 2700.00000, 1.88153, 1.50747, 2.06917, 1.02014, 2.3974, 1.42626, 0, 0
16, 0.00000, 2.01882, 1.6274, 2.15315, 1.08834, 2.55284, 1.47415, 0, 0
16, 900.00000, 2.13825, 1.74829, 2.28867, 1.14218, 2.73838, 1.57545, 0, 0
