hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9, 0.00000, 8090.08, 0.888932, 8090.08, -119.111, 8090.08, 120.889, 0, 0, 12.3609, -179.111, 12.3609, 60.8885, 12.3609, -59.1115, 2.41226E-009, 60.8884
10, 0.00000, 8168.85, 1.46737, 8168.85, -118.533, 8168.85, 121.467, 0, 0, 20.403, -178.533, 20.403, 61.4666, 20.403, -58.5334, 3.98169E-009, 61.4666
11, 0.00000, 8282.9, 2.31584, 8282.9, -117.684, 8282.9, 122.316, 0, 0, 32.1963, -177.687, 32.1963, 62.3133, 32.1963, -57.6867, 6.28318E-009, 62.3132
12, 0.00000, 8319.87, 2.59393, 8319.87, -117.406, 8319.87, 122.594, 0, 0, 36.0589, -177.407, 36.0589, 62.5929, 36.0589, -57.4071, 7.03698E-009, 62.5927
13, 0.00000, 8356.36, 2.86977, 8356.36, -117.13, 8356.36, 122.87, 0, 0, 39.8907, -177.131, 39.8907, 62.8685, 39.8907, -57.1315, 7.78476E-009, 62.8684
14, 0.00000, 8356.34, 2.86978, 8356.34, -117.13, 8356.34, 122.87, 0, 0, 39.8899, -177.13, 39.8899, 62.8698, 39.8899, -57.1302, 7.7846E-009, 62.8698
15, 0.00000, 8352.73, 2.84241, 8352.73, -117.158, 8352.73, 122.842, 0, 0, 39.5098, -177.158, 39.5098, 62.8424, 39.5098, -57.1576, 7.71044E-009, 62.8424
16, 0.00000, 8319.84, 2.59393, 8319.84, -117.406, 8319.84, 122.594, 0, 0, 36.0578, -177.405, 36.0578, 62.5949, 36.0578, -57.4051, 7.03676E-009, 62.5948
17, 0.00000, 8245.38, 2.03546, 8245.38, -117.965, 8245.38, 122.035, 0, 0, 28.298, -177.963, 28.298, 62.0368, 28.298, -57.9632, 5.52242E-009, 62.0367
18, 0.00000, 8129.75, 1.1795, 8129.75, -118.821, 8129.75, 121.179, 0, 0, 16.4005, -178.82, 16.4005, 61.1802, 16.4005, -58.8198, 3.2006E-009, 61.1801
19, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
22, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
24, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
