hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 127.002, -29.9987, 127.003, -149.999, 127.003, 90.0012, 8.33504E-005, -42.8362, 0.304731, -92.8265, 0.304729, 147.173, 0.304729, 27.1734, 1.14909E-006, 120.013
2, 0.00000, 127.002, -29.9986, 127.003, -149.999, 127.003, 90.0013, 8.27203E-005, -43.7532, 0.302304, -93.7364, 0.302302, 146.263, 0.302302, 26.2635, 1.13107E-006, 120.003
3, 0.00000, 127.002, -29.9987, 127.003, -149.999, 127.003, 90.0012, 8.33303E-005, -42.8648, 0.304653, -92.8549, 0.304652, 147.145, 0.304651, 27.145, 1.14871E-006, 120.003
4, 0.00000, 127.002, -29.9986, 127.003, -149.999, 127.003, 90.0013, 8.25652E-005, -43.9861, 0.301705, -93.9676, 0.301704, 146.032, 0.301704, 26.0323, 1.1266E-006, 120.003
5, 0.00000, 127.001, -29.9992, 127.002, -149.999, 127.002, 90.0008, 8.66165E-005, -38.6798, 0.317238, -88.7114, 0.317236, 151.288, 0.317236, 31.2885, 1.24554E-006, 120.003
6, 0.00000, 127, -29.9999, 127.001, -150, 127.001, 90.0001, 9.26205E-005, -32.7612, 0.340015, -82.8758, 0.340013, 157.124, 0.340013, 37.1241, 1.43082E-006, 120.002
7, 0.00000, 126.997, -30.0018, 126.998, -150.002, 126.998, 89.9982, 0.000112853, -20.3309, 0.415802, -70.6959, 0.415799, 169.304, 0.415799, 49.3041, 2.13969E-006, 120
8, 0.00000, 126.987, -30.0077, 126.988, -150.008, 126.988, 89.9925, 0.000189679, -1.96866, 0.699799, -52.8033, 0.699788, -172.803, 0.69979, 67.197, 6.06084E-006, 119.989
9, 0.00000, 126.985, -30.0086, 126.987, -150.009, 126.986, 89.9917, 0.000202296, -0.439339, 0.746249, -51.3136, 0.746237, -171.314, 0.746239, 68.6867, 6.89477E-006, 119.995
10, 0.00000, 126.985, -30.0086, 126.987, -150.009, 126.986, 89.9916, 0.000203027, -0.357008, 0.74894, -51.2334, 0.748928, -171.233, 0.74893, 68.767, 6.945E-006, 119.996
11, 0.00000, 126.986, -30.0077, 126.988, -150.008, 126.988, 89.9925, 0.000190232, -1.8971, 0.701832, -52.7336, 0.701822, -172.734, 0.701824, 67.2667, 6.09889E-006, 119.998
12, 0.00000, 126.985, -30.0083, 126.987, -150.008, 126.987, 89.9919, 0.000199085, -0.808519, 0.734432, -51.6733, 0.734421, -171.673, 0.734423, 68.3271, 6.67818E-006, 119.995
13, 0.00000, 126.985, -30.0083, 126.987, -150.008, 126.987, 89.9919, 0.0001987, -0.853721, 0.733013, -51.7173, 0.733002, -171.717, 0.733004, 68.2831, 6.65268E-006, 119.996
14, 0.00000, 126.986, -30.0082, 126.987, -150.008, 126.987, 89.992, 0.000197552, -0.989466, 0.728787, -51.8496, 0.728776, -171.85, 0.728778, 68.1508, 6.57619E-006, 119.996
15, 0.00000, 126.985, -30.0084, 126.987, -150.008, 126.987, 89.9919, 0.000199428, -0.768515, 0.735693, -51.6343, 0.735682, -171.634, 0.735684, 68.3661, 6.70136E-006, 119.996
16, 0.00000, 126.986, -30.0078, 126.988, -150.008, 126.988, 89.9924, 0.000191798, -1.69656, 0.7076, -52.5383, 0.707589, -172.538, 0.707591, 67.462, 6.19943E-006, 119.997
17, 0.00000, 126.986, -30.008, 126.988, -150.008, 126.987, 89.9922, 0.000194184, -1.39776, 0.716388, -52.2473, 0.716377, -172.247, 0.716379, 67.7531, 6.35413E-006, 119.996
18, 0.00000, 126.985, -30.0087, 126.986, -150.009, 126.986, 89.9916, 0.000204144, -0.232404, 0.753053, -51.112, 0.753042, -171.112, 0.753044, 68.8884, 7.02122E-006, 119.995
19, 0.00000, 126.988, -30.0069, 126.989, -150.007, 126.989, 89.9933, 0.000178509, -3.52115, 0.658648, -54.3152, 0.658639, -174.315, 0.658641, 65.6851, 5.37153E-006, 119.999
20, 0.00000, 126.988, -30.0069, 126.989, -150.007, 126.989, 89.9933, 0.000178509, -3.52115, 0.658648, -54.3152, 0.658639, -174.315, 0.658641, 65.6851, 5.37088E-006, 119.997
21, 0.00000, 126.999, -30.0003, 127, -150, 127, 89.9997, 9.62581E-005, -29.87, 0.353726, -80.0345, 0.353724, 159.965, 0.353724, 39.9655, 1.54931E-006, 120.007
22, 0.00000, 127.001, -29.9993, 127.002, -149.999, 127.002, 90.0007, 8.73608E-005, -37.8443, 0.320074, -87.8859, 0.320072, 152.114, 0.320072, 32.114, 1.26804E-006, 120.003
23, 0.00000, 127.002, -29.999, 127.002, -149.999, 127.002, 90.0009, 8.53517E-005, -40.186, 0.312407, -90.2009, 0.312405, 149.799, 0.312405, 29.799, 1.20795E-006, 120.003
24, 0.00000, 127.002, -29.9987, 127.003, -149.999, 127.003, 90.0012, 8.32901E-005, -42.9221, 0.304498, -92.9117, 0.304497, 147.088, 0.304497, 27.0882, 1.14757E-006, 120.003
