Nome_ID,Case,Simulation,overvoltage,undervoltage,overcurrent,unbalance,
1,1,2,1,0,0,0,
2,1,3,1,0,0,0,
3,1,4,1,0,0,0,
4,1,5,1,0,0,0,
5,1,5,1,0,0,0,
6,2,2,1,0,0,0,
7,2,3,0,0,0,1,
8,2,4,1,0,0,0,
9,2,5,0,0,0,1,
10,2,5,0,0,0,1,
11,3,2,1,0,0,0,
12,3,3,0,0,1,0,
13,3,4,1,0,0,0,
14,3,4,1,0,0,0,
15,3,4,1,0,0,0,
16,4,2,1,0,0,0,
17,4,2,1,0,0,0,
18,4,4,1,0,0,0,
19,4,4,1,0,0,0,
20,4,4,1,0,0,0,
21,5,2,1,0,0,0,
22,5,3,1,1,0,0,
23,5,4,1,0,0,0,
24,5,5,1,0,0,0,
25,5,5,1,0,0,0,
26,5,5,1,0,0,0,
27,5,5,1,0,0,0,
28,5,5,1,0,0,0,
29,5,5,1,0,0,0,
30,5,5,1,0,0,0,
31,7,2,1,0,0,0,
32,7,3,1,0,0,0,
33,7,4,1,0,0,0,
34,7,5,1,0,0,0,
35,7,5,1,0,0,0,
36,8,2,1,0,0,0,
37,8,3,1,0,0,0,
38,8,4,1,0,0,0,
39,8,4,1,0,0,0,
40,8,4,1,0,0,0,
41,9,2,1,0,0,0,
42,9,3,0,1,0,0,
43,9,4,1,0,0,0,
44,9,5,1,1,0,0,
45,9,5,1,1,0,0,
46,10,2,1,0,0,0,
47,10,2,1,0,0,0,
48,10,4,1,0,0,0,
49,10,4,1,0,0,0,
