Nome_ID,Case,Simulation,Elementos,Fase,Time_0,Time_1,Time_2,Time_3,Time_4,Time_5,Time_6,Time_7,Time_8,Time_9,Time_10,Time_11,Time_12,Time_13,Time_14,Time_15,Time_16,Time_17,Time_18,Time_19,Time_20,Time_21,Time_22,Time_23,Time_24,Time_25,Time_26,Time_27,Time_28,Time_29,Time_30,Time_31,Time_32,Time_33,Time_34,Time_35,Time_36,Time_37,Time_38,Time_39,Time_40,Time_41,Time_42,Time_43,Time_44,Time_45,Time_46,Time_47,Time_48,Time_49,Time_50,Time_51,Time_52,Time_53,Time_54,Time_55,Time_56,Time_57,Time_58,Time_59,Time_60,Time_61,Time_62,Time_63,Time_64,Time_65,Time_66,Time_67,Time_68,Time_69,Time_70,Time_71,Time_72,Time_73,Time_74,Time_75,Time_76,Time_77,Time_78,Time_79,Time_80,Time_81,Time_82,Time_83,Time_84,Time_85,Time_86,Time_87,Time_88,Time_89,Time_90,Time_91,Time_92,Time_93,Time_94,Time_95,
1,1,1,Vsource.SOURCE,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.381667,0.374212,0.394639,0.442754,0.446626,0.410846,0.433488,0.389756,0.426863,0.393314,0.360849,0.359637,0.38601,0.40253,0.380375,0.394342,0.386053,0.397332,0.384189,0.37746,0.384095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,1,Line._ABCN_L01-SEC,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2528,13.6626,13.9853,15.7352,16.0799,14.5355,15.5675,13.7532,15.0783,13.9132,12.8133,12.8207,13.9035,13.8156,13.3531,13.9976,13.8463,14.1376,13.6017,13.4604,13.8047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,1,Line._CN_L02-RAMAL,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.56147E-06,7.56336E-06,7.56137E-06,7.55699E-06,7.55621E-06,7.55944E-06,7.56015E-06,7.56236E-06,7.55979E-06,7.56279E-06,7.56471E-06,7.56428E-06,7.56334E-06,7.56144E-06,7.56368E-06,7.56218E-06,7.56305E-06,7.56287E-06,7.56335E-06,7.56333E-06,7.56203E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,1,Line._ABCN_L03-SEC,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.89962,10.3985,11.2887,12.9609,12.8478,11.9795,12.6337,11.4745,12.6567,11.7175,10.6403,10.5123,11.0478,11.9774,11.2637,11.3502,11.0945,11.6466,11.3227,10.9361,10.8129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,1,Line._ABCN_L04-SEC,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07289E-05,1.07295E-05,1.07267E-05,1.07179E-05,1.0717E-05,1.07235E-05,1.07191E-05,1.07269E-05,1.07205E-05,1.07259E-05,1.07315E-05,1.07317E-05,1.07274E-05,1.0726E-05,1.07286E-05,1.07266E-05,1.07274E-05,1.07254E-05,1.07277E-05,1.07289E-05,1.07282E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,1,Line._ABCN_L05-SEC,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.73794,2.91044,3.15745,3.58605,3.54112,3.35983,3.63368,3.27055,3.62091,3.3631,3.02668,2.9456,3.1315,3.39592,3.19008,3.208,3.1363,3.31197,3.19395,3.07001,3.01402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,1,Line._ABCN_L06-SEC,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5949,10.787,10.8435,12.16,12.5561,11.1853,11.9409,10.4884,11.4611,10.5536,9.79444,9.88895,10.7884,10.4216,10.1684,10.8017,10.7251,10.8333,10.4157,10.4047,10.8162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,1,Line._AN_L07-RAMAL,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18135,1.25573,1.36224,1.54703,1.52766,1.4495,1.56756,1.411,1.56206,1.4509,1.30585,1.27089,1.35105,1.46506,1.37631,1.38403,1.35312,1.42886,1.37798,1.32454,1.3004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,1,Line._BCN_L08-RAMAL,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.743731,0.525313,0.658265,0.5885,0.586338,0.602645,0.438095,0.506034,0.498118,0.412398,0.41226,0.441752,0.466494,0.705779,0.492832,0.582635,0.487675,0.445054,0.456263,0.495123,0.616921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,1,Line._ABCN_L09-SEC,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5566,1.65471,1.79521,2.03902,2.01346,1.91034,2.06613,1.85955,2.05886,1.9122,1.72083,1.67471,1.78045,1.93087,1.81378,1.82397,1.78318,1.88312,1.81598,1.74548,1.71363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
