Nome_ID,Case,Simulation,Elementos,Fase,Time_0,Time_1,Time_2,Time_3,Time_4,Time_5,Time_6,Time_7,Time_8,Time_9,Time_10,Time_11,Time_12,Time_13,Time_14,Time_15,Time_16,Time_17,Time_18,Time_19,Time_20,Time_21,Time_22,Time_23,Time_24,Time_25,Time_26,Time_27,Time_28,Time_29,Time_30,Time_31,Time_32,Time_33,Time_34,Time_35,Time_36,Time_37,Time_38,Time_39,Time_40,Time_41,Time_42,Time_43,Time_44,Time_45,Time_46,Time_47,Time_48,Time_49,Time_50,Time_51,Time_52,Time_53,Time_54,Time_55,Time_56,Time_57,Time_58,Time_59,Time_60,Time_61,Time_62,Time_63,Time_64,Time_65,Time_66,Time_67,Time_68,Time_69,Time_70,Time_71,Time_72,Time_73,Time_74,Time_75,Time_76,Time_77,Time_78,Time_79,Time_80,Time_81,Time_82,Time_83,Time_84,Time_85,Time_86,Time_87,Time_88,Time_89,Time_90,Time_91,Time_92,Time_93,Time_94,Time_95,
1,1,1,Vsource.SOURCE,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.04,139.26,141.43,143.94,144.3,141.95,142.91,139.76,142.51,139.28,136.18,136.33,139.63,141.97,138.85,141,139.69,140.17,138.94,138.78,140.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,1,Line._ABCN_L01-SEC,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-61.13,-62.62,-61.82,-58.07,-57.44,-60.53,-58.38,-62.41,-59.37,-62.01,-65.04,-65.01,-62.01,-62.26,-63.48,-61.79,-62.16,-61.45,-62.8,-63.17,-62.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,1,Line._CN_L02-RAMAL,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.81,179.84,179.81,179.75,179.74,179.78,179.79,179.82,179.79,179.83,179.86,179.85,179.84,179.81,179.84,179.82,179.83,179.83,179.84,179.84,179.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,1,Line._ABCN_L03-SEC,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-72.45,-70.04,-66.43,-61.35,-61.66,-64.12,-62.23,-65.78,-62.15,-64.96,-68.97,-69.52,-67.35,-64.1,-66.52,-66.22,-67.17,-65.2,-66.32,-67.77,-68.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,1,Line._ABCN_L04-SEC,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.66,67.67,67.64,67.58,67.58,67.62,67.6,67.65,67.6,67.64,67.68,67.68,67.65,67.63,67.66,67.64,67.65,67.64,67.65,67.66,67.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,1,Line._ABCN_L05-SEC,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.63,-70.49,-66.82,-61.99,-62.45,-64.34,-61.51,-65.37,-61.62,-64.28,-68.63,-69.89,-67.17,-63.9,-66.37,-66.16,-67.1,-64.88,-66.33,-68.02,-68.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,1,Line._ABCN_L06-SEC,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-58.2,-60.5,-60.36,-56.92,-56.03,-59.39,-57.43,-61.49,-58.65,-61.29,-63.93,-63.56,-60.52,-61.72,-62.57,-60.49,-60.72,-60.4,-61.72,-61.74,-60.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,1,Line._AN_L07-RAMAL,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.64,-70.5,-66.83,-62,-62.46,-64.35,-61.52,-65.38,-61.63,-64.29,-68.64,-69.9,-67.18,-63.91,-66.38,-66.17,-67.11,-64.89,-66.34,-68.03,-68.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,1,Line._BCN_L08-RAMAL,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-175.76,172.18,-179.36,176.74,176.59,177.64,162.68,170.48,169.69,158.75,158.77,163.29,166.37,-177.23,169.22,176.4,168.68,163.68,165.15,169.45,178.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,1,Line._ABCN_L09-SEC,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.62,-70.48,-66.82,-61.98,-62.44,-64.33,-61.51,-65.36,-61.62,-64.27,-68.62,-69.88,-67.16,-63.9,-66.36,-66.15,-67.1,-64.87,-66.32,-68.01,-68.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
