Simulation,Case,SimulationCount,Voltage_Max,Voltage_Min,GD_Config,HC,
1,1,1,0.9999731634790717,1,[],0.04189540948113294,
2,1,2,1.0588917980092158,1,[],0.28164082625476244,
3,1,3,1.055756462772841,1,[],0.38958909547776843,
4,1,4,1.05551306660686,1,[],0.29267006294057074,
5,1,5,1.0515365776286028,1,[],0.46079176299882124,
6,2,1,1.0003231143054059,1,[],0.041895112442411626,
7,2,2,1.0595626267918912,1,[],0.2816358727834982,
8,2,3,1.042021956485767,1,[],0.5942516041146066,
9,2,4,1.0545777249289554,1,[],0.2895176812067984,
10,2,5,1.0390702027350514,1,[],0.5899916019360399,
11,3,1,0.9999775657080827,1,[],0.04189518636377043,
12,3,2,1.0522715320942957,1,[],0.3025816137146579,
13,3,3,1.045301819060226,1,[],0.7149730096820861,
14,3,4,1.0529599281843285,1,[],0.3489948893232742,
15,3,5,1.0409175935814527,1,[],0.7064664318145054,
16,4,1,0.9999741544021867,1,[],0.041895151097118,
17,4,2,1.0549291983125206,1,[],0.3025847875667256,
18,4,3,1.050520371666229,1,[],0.7204580700515789,
19,4,4,1.055865983216869,1,[],0.3494605957037849,
20,4,5,1.0438601742737248,1,[],0.7091690169834157,
21,5,1,0.9999775699472304,1,[],0.04189518093887044,
22,5,2,1.0542618363798546,1,[],0.3444762046269293,
23,5,3,1.0537167474665563,1,[],0.6433148869490256,
24,5,4,1.051995159574753,1,[],0.37235647243923625,
25,5,5,1.0520349090193535,1,[],0.6308711908571041,
26,6,1,0.9999776264136517,1,[],0.04189521213198288,
27,6,2,1.050607310634388,1,[],0.6377554146580127,
28,6,3,1.0281350718701345,1,[],0.6528414486310535,
29,6,4,1.0427727228197787,1,[],0.628609375000376,
30,6,5,1.0279845505389351,1,[],0.6528447463747253,
31,7,1,1.0038022523098855,1,[],0.041895125326027495,
32,7,2,1.0533695588886256,1,[],0.2816330241741964,
33,7,3,1.052767691806893,1,[],0.4405711813237995,
34,7,4,1.053949117845332,1,[],0.2965941840282876,
35,7,5,1.0516898599078786,1,[],0.48396444455344917,
36,8,1,1.0003195745895852,1,[],0.041895158557364295,
37,8,2,1.0564024187101928,1,[],0.2816353409275449,
38,8,3,1.0551580635463822,1,[],0.6731370630139931,
39,8,4,1.0556604297063314,1,[],0.31008748914997203,
40,8,5,1.0481071459450604,1,[],0.7155222393262777,
41,9,1,1.0062102777189872,1,[],0.04189515313344152,
42,9,2,1.0832889728748443,1,[],0.2606910511461622,
43,9,3,1.0514796562728266,1,[],0.31498083328129933,
44,9,4,1.0738805340273256,1,[],0.24618971625734787,
45,9,5,1.055221035500365,1,[],0.33816626301401825,
46,10,1,0.9999741596913239,1,[],0.04189518364900497,
47,10,2,1.0525172873210948,1,[],0.36542371990039174,
48,10,3,1.0443252682925566,1,[],0.6865431429815564,
49,10,4,1.0511527216551357,1,[],0.37824620768254663,
50,10,5,1.0436361906991711,1,[],0.6840586797249701,
