Nome_ID,Case,Simulation,Elemento,I_pu_max_a,I_pu_max_b,I_pu_max_c,I_pu_min_a,I_pu_min_b,I_pu_min_c,
1,1,1,Vsource.SOURCE,0.446626,0.435488,0.525542,0.359637,0.339561,0.408301,
2,1,1,Line._ABCN_L01-SEC,16.0799,12.5094,13.1313,12.8133,9.96165,10.1809,
3,1,1,Line._CN_L02-RAMAL,7.56471E-06,6.55347E-06,0,7.55621E-06,6.54705E-06,0,
4,1,1,Line._ABCN_L03-SEC,12.9609,7.07377,14.5742,9.89962,5.35989,10.9196,
5,1,1,Line._ABCN_L04-SEC,1.07317E-05,1.23382E-05,1.1642E-05,1.0717E-05,1.23269E-05,1.16271E-05,
6,1,1,Line._ABCN_L05-SEC,3.63368,1.98942,0.75628,2.73794,1.55169,0.419233,
7,1,1,Line._ABCN_L06-SEC,12.5561,10.5952,12.5395,9.79444,8.42772,9.77999,
8,1,1,Line._AN_L07-RAMAL,1.56756,1.56136,0,1.18135,1.1723,0,
9,1,1,Line._BCN_L08-RAMAL,0.743731,0.744915,0.74278,0.41226,0.412956,0.42417,
10,1,1,Line._ABCN_L09-SEC,2.06613,1.376,0.0113684,1.5566,1.03807,0.00628384,
11,1,1,Line._ABCN_L10-SEC,2.66092,0.755722,2.65736,2.00037,0.701177,1.99749,
12,1,1,Line._ABCN_L11-RAMAL,9.89556,9.85433,9.8825,7.73704,7.70951,7.72576,
13,1,1,Line._AN_L12-RAMAL,2.06614,2.05238,0,1.55661,1.54187,0,
14,1,1,Line._BCN_L13-RAMAL,1.37601,0.0113768,1.31672,1.03809,0.00630131,1.00579,
15,1,1,Line._ABCN_L14-RAMAL,0.758762,0.755727,0.757672,0.704069,0.701183,0.702969,
16,1,1,Line._ACN_L15-RAMAL,1.91876,1.9161,1.92881,1.31174,1.30949,1.32305,
17,1,1,Line._BN_L16-RAMAL,0.918981,0.902285,0,0.509316,0.493772,0,
18,1,1,Line._ABCN_L17-SEC,12.9609,6.1984,14.5697,9.89964,4.85379,10.9165,
19,1,1,Line._BCN_L18-RAMAL,0.00566842,0.00569567,0.0236591,0.00313344,0.00315131,0.0154761,
20,1,1,Line._ABCN_L19-SEC,3.34345,4.36314,10.7069,2.48453,3.29221,7.67725,
21,1,1,Line._ABCN_L20-SEC,7.61379,2.24005,4.11427,5.8588,1.2405,3.02371,
22,1,1,Line._ABCN_L21-SEC,2.06832,9.06012E-06,8.53534E-06,1.55701,9.04856E-06,8.51534E-06,
23,1,1,Line._BCN_L22-RAMAL,2.05335,3.2056,2.85736,1.54938,2.18559,1.75509,
24,1,1,Line._ABCN_L23-SEC,3.34346,2.52863E-05,7.50176,2.48454,2.52487E-05,5.47354,
25,1,1,Line._BN_L24-RAMAL,2.30981,2.30204,0,1.74286,1.7357,0,
26,1,1,Line._ABN_L25-RAMAL,0.387433,0.927233,0.740001,0.192584,0.513651,0.3086,
27,1,1,Line._CN_L26-RAMAL,0.638288,0.641706,0,0.353869,0.352695,0,
28,1,1,Line._ABCN_L27-SEC,4.85245,1.31282,2.2159,3.64903,0.726858,1.66939,
29,1,1,Line._AN_L28-RAMAL,2.48845,2.47628,0,1.87265,1.86357,0,
30,1,1,Line._CN_L29-RAMAL,1.51989,1.52195,0,0.842588,0.840986,0,
31,1,1,Line._AN_L30-RAMAL,2.06833,2.06513,0,1.55702,1.55329,0,
32,1,1,Line._CN_L31-RAMAL,2.49828,2.43396,0,1.88111,1.82575,0,
33,1,1,Line._CN_L32-RAMAL,3.3751,3.29511,0,2.29798,2.24253,0,
34,1,1,Line._AN_L33-RAMAL,1.71113,1.7364,0,1.28806,1.31538,0,
35,1,1,Line._ACN_L34-RAMAL,1.6784,1.68855,1.64465,1.14795,1.15005,1.12405,
36,1,1,Line._AN_L35-RAMAL,2.23375,2.20098,0,1.67979,1.65227,0,
37,1,1,Line._BN_L36-RAMAL,1.1353E-05,9.75614E-06,0,1.13319E-05,9.73661E-06,0,
38,1,1,Line._CN_L37-RAMAL,2.21591,2.20194,0,1.6694,1.66752,0,
39,1,1,Line._BN_L38-RAMAL,1.31284,1.32111,0,0.726886,0.750364,0,
40,1,1,Line._AN_L39-RAMAL,2.61872,2.58513,0,1.96926,1.94112,0,
41,1,1,Reactor.GND_R01,0.0142598,0,0,0.00940642,0,0,
42,1,1,Reactor.GND_R02,0.00855876,0,0,0.00527216,0,0,
43,1,1,Reactor.GND_R03,0.0303435,0,0,0.0194652,0,0,
44,1,1,Reactor.GND_R04,0.0775805,0,0,0.0556016,0,0,
45,1,1,Reactor.GND_R05,0.0805806,0,0,0.0561214,0,0,
46,1,1,Reactor.GND_R06,0.0639701,0,0,0.0447186,0,0,
47,1,1,Reactor.GND_R07,0.00788678,0,0,0.00300011,0,0,
48,1,1,Reactor.GND_R08,0.037302,0,0,0.0240687,0,0,
49,1,1,Reactor.GND_R09,0.0297577,0,0,0.0209627,0,0,
50,1,1,Reactor.GND_R10,0.0334639,0,0,0.0210699,0,0,
51,1,1,Reactor.GND_R11,0.0128766,0,0,0.00919617,0,0,
52,1,1,Reactor.GND_R12,0.00815789,0,0,0.00576682,0,0,
53,1,1,Reactor.GND_R13,0.00771926,0,0,0.00409033,0,0,
54,1,1,Reactor.GND_R14,0.0386197,0,0,0.0283613,0,0,
55,1,1,Reactor.GND_R15,0.0395985,0,0,0.0258215,0,0,
56,1,1,Reactor.GND_R16,0.0391457,0,0,0.0255315,0,0,
57,1,1,Reactor.GND_R17,0.0393421,0,0,0.0289662,0,0,
58,1,1,Reactor.GND_R18,0.0359857,0,0,0.0236298,0,0,
59,1,1,Reactor.GND_R19,0.0349698,0,0,0.0221211,0,0,
60,1,1,Reactor.GND_R20,0.03167,0,0,0.0188657,0,0,
61,1,1,Reactor.GND_R21,0.0688203,0,0,0.0480174,0,0,
62,1,1,Reactor.GND_R22,0.0277005,0,0,0.0154961,0,0,
63,1,1,Reactor.GND_R23,0.0237733,0,0,0.017393,0,0,
64,1,1,Reactor.GND_R24,0.00815789,0,0,0.00576682,0,0,
65,1,1,Reactor.GND_R25,0.0391457,0,0,0.0255315,0,0,
66,1,1,Reactor.GND_R26,0.0349698,0,0,0.0221211,0,0,
67,1,1,Reactor.GND_R27,0.0247862,0,0,0.0131511,0,0,
68,1,1,Reactor.GND_R28,0.0225954,0,0,0.0156713,0,0,
69,1,1,Transformer.T1,0.446626,0.435488,0.525542,0.359637,0.339561,0.408301,
70,1,1,Load.C01,2.06836,2.06836,0,1.55704,1.55704,0,
71,1,1,Load.C02,2.30981,2.30981,0,1.74288,1.74288,0,
72,1,1,Load.C03,2.49824,2.49824,0,1.88115,1.88115,0,
73,1,1,Load.C04,3.37513,3.37513,0,2.29798,2.29798,0,
74,1,1,Load.C05,1.71117,1.71117,0,1.28808,1.28808,0,
75,1,1,Load.C06,1.5199,1.5199,0,0.842584,0.842584,0,
76,1,1,Load.C07,1.56758,1.56758,0,1.18136,1.18136,0,
77,1,1,Load.C08,1.31285,1.31285,0,0.726892,0.726892,0,
78,1,1,Load.C09,2.21589,2.21589,0,1.66942,1.66942,0,
79,1,1,Load.C10,2.48849,2.48849,0,1.87267,1.87267,0,
80,1,1,Load.C11,0.927238,0.927238,0,0.513657,0.513657,0,
81,1,1,Load.C12,0.638293,0.638293,0,0.353871,0.353871,0,
82,1,1,Load.C13,2.2338,2.2338,0,1.67982,1.67982,0,
83,1,1,Load.C14,2.06616,2.06616,0,1.55663,1.55663,0,
84,1,1,Load.C15,1.37603,1.37603,0,1.03811,1.03811,0,
85,1,1,Load.C16,2.61878,2.61878,0,1.96928,1.96928,0,
86,1,1,Load.C17,0.743741,0.744918,0.74416,0.412271,0.412961,0.412544,
87,1,1,Load.C18,3.20563,3.20563,0,2.18559,2.18559,0,
88,1,1,Load.C19,9.89558,9.85434,9.88253,7.73696,7.7095,7.7257,
89,1,1,Load.C20,1.6784,1.68857,1.67328,1.14797,1.15006,1.14208,
90,1,1,Load.C21,0.758769,0.755732,0.757675,0.704074,0.701188,0.702969,
91,1,1,Load.C22,0.918987,0.918987,0,0.50932,0.50932,0,
92,1,1,Load.C23,0.387438,0.387438,0,0.192591,0.192591,0,
93,1,1,Load.C24,0.0113784,0.0113784,0,0.00630811,0.00630811,0,
94,1,1,Load.C25,2.05336,2.05336,0,1.5494,1.5494,0,
95,1,1,Load.C26,1.91877,1.91611,1.91513,1.31176,1.3095,1.309,
96,1,1,Load.C27,0.00567884,0.00569765,0.00568945,0.00314756,0.0031595,0.00315422,
97,1,1,PVSystem.PV_0,0,0,0,0,0,0,
98,1,1,PVSystem.PV_1,0,0,0,0,0,0,
99,1,1,PVSystem.PV_2,0,0,0,0,0,0,
100,1,1,PVSystem.PV_3,0,0,0,0,0,0,
101,1,1,PVSystem.PV_4,0,0,0,0,0,0,
102,1,1,PVSystem.PV_5,0,0,0,0,0,0,
103,1,2,Vsource.SOURCE,0.326566,0.470771,0.42907,0.227188,0.306394,0.233934,
104,1,2,Line._ABCN_L01-SEC,11.1264,7.7129,7.3607,8.98904,5.46252,5.67371,
105,1,2,Line._CN_L02-RAMAL,7.64563E-06,6.56193E-06,0,7.62058E-06,6.55668E-06,0,
106,1,2,Line._ABCN_L03-SEC,20.4047,5.82539,26.9363,11.7732,3.73694,16.6825,
107,1,2,Line._ABCN_L04-SEC,1.07901E-05,1.23426E-05,1.17787E-05,1.07687E-05,1.23322E-05,1.1736E-05,
108,1,2,Line._ABCN_L05-SEC,3.61865,7.9052,8.2278,2.7274,5.02693,5.59622,
109,1,2,Line._ABCN_L06-SEC,7.68192,6.01785,7.59657,6.18204,4.65654,6.03771,
110,1,2,Line._AN_L07-RAMAL,1.56105,2.15952,0,1.17678,1.76714,0,
111,1,2,Line._BCN_L08-RAMAL,0.740082,0.738962,0.658597,0.410139,0.409507,0.306122,
112,1,2,Line._ABCN_L09-SEC,2.0576,8.28961,8.64816,1.55063,5.35791,6.11315,
113,1,2,Line._ABCN_L10-SEC,4.61441,5.45865,4.3231,2.75371,3.5686,2.59305,
114,1,2,Line._ABCN_L11-RAMAL,9.84316,9.79942,9.79171,7.69984,7.67083,7.66168,
115,1,2,Line._AN_L12-RAMAL,2.05762,2.58692,0,1.55064,2.11834,0,
116,1,2,Line._BCN_L13-RAMAL,8.28961,8.64817,2.28406,5.35791,6.11315,1.67162,
117,1,2,Line._ABCN_L14-RAMAL,5.38049,5.45865,5.13467,3.5377,3.5686,3.40906,
118,1,2,Line._ACN_L15-RAMAL,1.90674,1.89641,1.75439,1.30431,1.29735,1.38592,
119,1,2,Line._BN_L16-RAMAL,0.915197,1.39239,0,0.507118,0.831902,0,
120,1,2,Line._ABCN_L17-SEC,20.4047,6.04368,26.9387,11.7732,3.68672,16.6851,
121,1,2,Line._BCN_L18-RAMAL,0.00564512,0.00562115,0.861865,0.00311988,0.00310802,0.604647,
122,1,2,Line._ABCN_L19-SEC,3.30881,4.34263,10.4673,2.46231,3.2778,7.50755,
123,1,2,Line._ABCN_L20-SEC,5.89456,7.93297,31.6025,4.05387,4.86554,21.422,
124,1,2,Line._ABCN_L21-SEC,16.7323,9.09114E-06,8.7162E-06,11.1242,9.07737E-06,8.65915E-06,
125,1,2,Line._BCN_L22-RAMAL,2.04375,3.13615,1.65579,1.54264,2.14292,0.798759,
126,1,2,Line._ABCN_L23-SEC,3.30882,2.53646E-05,7.33161,2.46232,2.53242E-05,5.35104,
127,1,2,Line._BN_L24-RAMAL,2.2989,2.67599,0,1.73519,1.97553,0,
128,1,2,Line._ABN_L25-RAMAL,8.6651,8.62734,2.17778,5.93293,5.72113,1.41084,
129,1,2,Line._CN_L26-RAMAL,16.7123,0.512995,0,11.6981,0.142542,0,
130,1,2,Line._ABCN_L27-SEC,4.79995,1.3062,15.7039,3.6124,0.723023,10.5305,
131,1,2,Line._AN_L28-RAMAL,2.46079,3.06152,0,1.85332,2.48771,0,
132,1,2,Line._CN_L29-RAMAL,1.48858,0.760906,0,0.824448,0.364573,0,
133,1,2,Line._AN_L30-RAMAL,16.7323,2.70081,0,11.1242,2.22052,0,
134,1,2,Line._CN_L31-RAMAL,2.44575,1.62783,0,1.84436,1.13596,0,
135,1,2,Line._CN_L32-RAMAL,3.29849,2.39891,0,2.2511,1.46546,0,
136,1,2,Line._AN_L33-RAMAL,1.69466,2.32609,0,1.27654,1.90439,0,
137,1,2,Line._ACN_L34-RAMAL,1.66101,1.65036,1.50704,1.13718,1.12666,1.20556,
138,1,2,Line._AN_L35-RAMAL,2.20958,2.79829,0,1.66293,2.27121,0,
139,1,2,Line._BN_L36-RAMAL,1.13812E-05,9.84223E-06,0,1.13589E-05,9.80984E-06,0,
140,1,2,Line._CN_L37-RAMAL,15.7039,1.44414,0,10.5305,1.05416,0,
141,1,2,Line._BN_L38-RAMAL,1.30621,1.67067,0,0.723051,0.971226,0,
142,1,2,Line._AN_L39-RAMAL,2.59038,3.16621,0,1.94949,2.55391,0,
143,1,2,Reactor.GND_R01,0.285875,0,0,0.199069,0,0,
144,1,2,Reactor.GND_R02,0.913274,0,0,0.64423,0,0,
145,1,2,Reactor.GND_R03,0.87304,0,0,0.615464,0,0,
146,1,2,Reactor.GND_R04,0.900741,0,0,0.638883,0,0,
147,1,2,Reactor.GND_R05,0.903976,0,0,0.638353,0,0,
148,1,2,Reactor.GND_R06,0.888817,0,0,0.627274,0,0,
