Nome_ID,Case,Simulation,Name,Bus,Pmp,kW,kvar,kva,FP,Phases,Irrad,Temp,
1,1,1,pvsystem.pv_0,bus_33998182_030,0.4725000000000001,-314.2133483886719,0.004232319071888924,314.2133484171756,1,AN,Irrad,Temp,
2,1,1,pvsystem.pv_1,bus_33998182_024,0.4725000000000001,-314.21673583984375,0.0020227362401783466,314.2167358463543,1,BCN,Irrad,Temp,
3,1,1,pvsystem.pv_2,bus_33998182_029,0.4725000000000001,-314.21771240234375,0.00476766237989068,314.2177124385139,1,CN,Irrad,Temp,
4,1,1,pvsystem.pv_3,bus_33998182_032,0.4725000000000001,-314.2189025878906,0.003380862297490239,314.2189026060789,1,CN,Irrad,Temp,
5,1,1,pvsystem.pv_4,bus_33998182_039,0.4725000000000001,-314.2133483886719,0.0038739785086363554,314.2133484125533,1,AN,Irrad,Temp,
6,1,1,pvsystem.pv_5,bus_33998182_035,0.4725000000000001,-314.21337890625,0.003888124832883477,314.21337893030613,1,AN,Irrad,Temp,
7,1,2,pvsystem.pv_0,bus_33998182_030,3.1762500000000005,-2112.35791015625,0.1307775378227234,2112.3579142045137,1,AN,Irrad,Temp,
8,1,2,pvsystem.pv_1,bus_33998182_024,3.1762500000000005,-2112.21435546875,0.07983185350894928,2112.214356977386,1,BCN,Irrad,Temp,
9,1,2,pvsystem.pv_2,bus_33998182_029,3.1762500000000005,-2112.2451171875,0.13826672732830048,2112.2451217129424,1,CN,Irrad,Temp,
10,1,2,pvsystem.pv_3,bus_33998182_032,3.1762500000000005,-2112.258056640625,0.14380061626434326,2112.2580615355328,1,CN,Irrad,Temp,
11,1,2,pvsystem.pv_4,bus_33998182_039,3.1762500000000005,-2112.380615234375,0.13225695490837097,2112.380619374704,1,AN,Irrad,Temp,
12,1,2,pvsystem.pv_5,bus_33998182_035,3.1762500000000005,-2112.381103515625,0.13230930268764496,2112.3811076592315,1,AN,Irrad,Temp,
13,1,3,pvsystem.pv_0,bus_33998182_030,3.8850000000000007,-2583.492431640625,297.209228515625,2600.531959015163,1,AN,Irrad,Temp,
14,1,3,pvsystem.pv_1,bus_33998182_024,3.8850000000000007,-2583.5966796875,499.99359130859375,2631.53289826328,1,BCN,Irrad,Temp,
15,1,3,pvsystem.pv_2,bus_33998182_029,3.8850000000000007,-2583.723388671875,2367.510498046875,3504.3876080611058,1,CN,Irrad,Temp,
