Nome_ID,Simulation,Elementos,Fase,Time_0,Time_1,Time_2,Time_3,Time_4,Time_5,Time_6,Time_7,Time_8,Time_9,Time_10,Time_11,Time_12,Time_13,Time_14,Time_15,Time_16,Time_17,Time_18,Time_19,Time_20,Time_21,Time_22,Time_23,Time_24,Time_25,Time_26,Time_27,Time_28,Time_29,Time_30,Time_31,Time_32,Time_33,Time_34,Time_35,Time_36,Time_37,Time_38,Time_39,Time_40,Time_41,Time_42,Time_43,Time_44,Time_45,Time_46,Time_47,Time_48,Time_49,Time_50,Time_51,Time_52,Time_53,Time_54,Time_55,Time_56,Time_57,Time_58,Time_59,Time_60,Time_61,Time_62,Time_63,Time_64,Time_65,Time_66,Time_67,Time_68,Time_69,Time_70,Time_71,Time_72,Time_73,Time_74,Time_75,Time_76,Time_77,Time_78,Time_79,Time_80,Time_81,Time_82,Time_83,Time_84,Time_85,Time_86,Time_87,Time_88,Time_89,Time_90,Time_91,Time_92,Time_93,Time_94,Time_95,
1,1,Vsource.source,A,-1.52326,-1.50567,-1.31405,-1.36535,-1.29529,-1.26752,-1.26396,-1.20224,-1.19421,-1.17426,-1.1654,-1.14903,-1.17752,-1.13211,-1.158,-1.14553,-1.10045,-1.22328,-1.1094,-1.1997,-1.37921,-1.66647,-2.35512,-2.923,-3.25527,-2.17499,-1.93812,-2.07671,-2.31642,-2.25215,-1.86587,-1.78266,-1.75947,-1.75533,-1.6702,-1.82038,-1.75449,-1.96419,-2.15537,-1.83886,-2.06741,-1.94791,-2.12001,-2.45908,-2.49179,-2.2227,-2.37565,-2.04403,-2.32692,-2.04796,-1.78887,-1.78734,-2.02068,-2.17834,-1.9679,-2.10551,-2.02252,-2.0964,-1.9904,-1.95066,-2.03577,-2.01269,-1.85599,-2.00737,-2.14619,-2.25355,-2.22934,-2.5079,-2.4243,-3.07398,-3.7338,-3.78585,-3.83715,-4.09867,-4.18827,-4.35508,-4.10848,-4.02313,-3.79183,-3.57871,-3.5132,-3.40752,-3.15852,-2.90786,-2.98865,-3.04731,-2.85086,-2.63886,-2.63602,-2.48909,-2.2932,-2.026,-1.89468,-1.95598,-1.62029,-1.52326,
2,1,Line._abcn_l01-sec,A,1.1091,1.10297,0.963542,1.02735,0.983842,0.957099,0.979465,0.920097,0.932631,0.923137,0.932102,0.89559,0.927639,0.889463,0.913585,0.905162,0.832596,0.960706,0.85162,0.921513,1.02535,1.14458,1.46794,2.07473,2.25674,1.65256,1.5421,1.61985,1.66939,1.56014,1.44666,1.429,1.41807,1.45268,1.32176,1.38673,1.35286,1.4954,1.67111,1.49047,1.54277,1.45533,1.50302,1.75578,1.80468,1.58362,1.7315,1.46855,1.66169,1.49212,1.32712,1.32837,1.49081,1.47763,1.40873,1.50468,1.48237,1.5251,1.44596,1.42501,1.47644,1.46072,1.41401,1.50115,1.59643,1.66829,1.50552,1.67966,1.70736,1.98404,2.16617,2.33579,2.38177,2.47655,2.46348,2.39429,2.32015,2.2812,2.16772,2.04634,2.02635,1.93703,1.826,1.72071,1.73802,1.64654,1.61727,1.54859,1.51709,1.49543,1.38881,1.32058,1.24195,1.32002,1.13124,1.10911,
3,1,Line._cn_l02-ramal,A,1.01048E-09,9.872E-10,9.56994E-10,9.36515E-10,9.10084E-10,9.37867E-10,8.71257E-10,9.01556E-10,8.81552E-10,8.46343E-10,8.56509E-10,8.80355E-10,8.5984E-10,8.70515E-10,8.37881E-10,8.13213E-10,8.52608E-10,8.7116E-10,8.50761E-10,8.94824E-10,9.00021E-10,1.07613E-09,1.42788E-09,1.53998E-09,1.72173E-09,1.20899E-09,1.02899E-09,1.10152E-09,1.33073E-09,1.36009E-09,1.12373E-09,8.9568E-10,9.19419E-10,9.50923E-10,9.88395E-10,9.12276E-10,9.48529E-10,1.04697E-09,8.31253E-10,8.91301E-10,8.51749E-10,1.01733E-09,1.02086E-09,1.12373E-09,1.09545E-09,1.05214E-09,1.25884E-09,1.10631E-09,1.20048E-09,1.18869E-09,1.08571E-09,1.04327E-09,1.12499E-09,1.08475E-09,1.12696E-09,1.08314E-09,1.10603E-09,1.19238E-09,1.14285E-09,1.07689E-09,9.92697E-10,1.09553E-09,1.02859E-09,1.11855E-09,1.17202E-09,1.16826E-09,1.21307E-09,1.22317E-09,1.02472E-09,9.08631E-10,1.0835E-09,1.05252E-09,1.36574E-09,1.4219E-09,1.58982E-09,1.52063E-09,1.57168E-09,1.56246E-09,1.36263E-09,1.38648E-09,1.2371E-09,1.25895E-09,1.22904E-09,1.27256E-09,1.23859E-09,1.12998E-09,1.21595E-09,1.22589E-09,1.32954E-09,1.25462E-09,1.1371E-09,1.14897E-09,1.16244E-09,1.20128E-09,1.05991E-09,1.01024E-09,
4,1,Line._abcn_l03-sec,A,0.974657,0.927869,0.852164,0.804901,0.763188,0.769243,0.693105,0.706782,0.681363,0.648216,0.636753,0.659842,0.643912,0.648829,0.624092,0.599027,0.647955,0.652724,0.63563,0.725822,0.844728,1.22701,1.87874,1.69325,1.94123,1.17713,0.947431,1.02218,1.36322,1.37656,0.987975,0.80732,0.826399,0.783638,0.872507,0.912901,0.881768,1.02176,0.912256,0.822042,0.924934,1.00767,1.14934,1.40043,1.38384,1.255,1.35183,1.17791,1.35556,1.21495,1.04694,1.0264,1.11139,1.25468,1.14529,1.15869,1.11877,1.20403,1.15438,1.09399,1.07457,1.1505,1.02728,1.1324,1.23181,1.27962,1.38297,1.56236,1.44393,1.84558,2.47893,2.53524,2.71977,2.79372,3.00948,3.07266,2.954,2.90564,2.66854,2.57943,2.48202,2.44792,2.25192,2.15729,2.13254,2.15823,2.06636,1.92879,2.00034,1.8045,1.64736,1.4223,1.38485,1.37671,1.10145,0.974676,
5,1,Line._abcn_l04-sec,A,-1.86053E-07,-1.85933E-07,-1.85951E-07,-1.85782E-07,-1.85779E-07,-1.85784E-07,-1.85639E-07,-1.85705E-07,-1.85702E-07,-1.85656E-07,-1.8566E-07,-1.85665E-07,-1.85619E-07,-1.85682E-07,-1.85595E-07,-1.85542E-07,-1.85628E-07,-1.85565E-07,-1.85609E-07,-1.85818E-07,-1.85947E-07,-1.866E-07,-1.87208E-07,-1.85993E-07,-1.86068E-07,-1.85853E-07,-1.85708E-07,-1.85621E-07,-1.85956E-07,-1.85846E-07,-1.8571E-07,-1.85533E-07,-1.85645E-07,-1.85552E-07,-1.8578E-07,-1.85662E-07,-1.85629E-07,-1.8573E-07,-1.85376E-07,-1.85589E-07,-1.85308E-07,-1.85632E-07,-1.8569E-07,-1.8613E-07,-1.86138E-07,-1.8597E-07,-1.85984E-07,-1.85894E-07,-1.86039E-07,-1.8601E-07,-1.85924E-07,-1.85906E-07,-1.85756E-07,-1.85721E-07,-1.85828E-07,-1.8571E-07,-1.85774E-07,-1.85868E-07,-1.85886E-07,-1.85807E-07,-1.85664E-07,-1.85896E-07,-1.85952E-07,-1.85956E-07,-1.86073E-07,-1.86092E-07,-1.8599E-07,-1.86215E-07,-1.86445E-07,-1.86627E-07,-1.8702E-07,-1.87728E-07,-1.88028E-07,-1.87489E-07,-1.87766E-07,-1.87169E-07,-1.87356E-07,-1.87379E-07,-1.872E-07,-1.87241E-07,-1.87238E-07,-1.8718E-07,-1.87014E-07,-1.87224E-07,-1.86874E-07,-1.86554E-07,-1.8676E-07,-1.86796E-07,-1.86858E-07,-1.86649E-07,-1.86574E-07,-1.86456E-07,-1.86547E-07,-1.86477E-07,-1.86209E-07,-1.86053E-07,
6,1,Line._abcn_l05-sec,A,0.27835,0.266216,0.243892,0.231756,0.218221,0.222632,0.19863,0.204249,0.195069,0.184196,0.181157,0.190369,0.18471,0.185988,0.178149,0.170573,0.187064,0.188824,0.183128,0.205921,0.236303,0.342725,0.538461,0.51221,0.591657,0.346407,0.271478,0.299642,0.406598,0.417053,0.289432,0.218813,0.221258,0.210956,0.236136,0.244031,0.240029,0.282529,0.240488,0.215573,0.2505,0.27967,0.319277,0.384115,0.377437,0.350428,0.39105,0.336847,0.389283,0.350939,0.298706,0.285585,0.315178,0.355918,0.324421,0.327131,0.315947,0.343097,0.324994,0.30553,0.296541,0.321228,0.278529,0.314478,0.341554,0.353775,0.394319,0.438067,0.381413,0.48291,0.671778,0.668597,0.737832,0.776816,0.84504,0.877518,0.842701,0.828198,0.751866,0.728687,0.690215,0.685101,0.631727,0.603277,0.602896,0.613786,0.587394,0.547678,0.57518,0.517941,0.46733,0.405967,0.394957,0.395528,0.314998,0.278352,
7,1,Line._abcn_l06-sec,A,0.828974,0.83499,0.718134,0.793968,0.764069,0.73296,0.779289,0.714399,0.736094,0.737488,0.749478,0.70381,0.741468,0.702074,0.733997,0.733164,0.644215,0.770367,0.667147,0.714144,0.787423,0.800024,0.926926,1.55809,1.65997,1.30308,1.26786,1.31723,1.25967,1.14027,1.1547,1.20771,1.19436,1.23919,1.08341,1.14033,1.11054,1.21023,1.4275,1.27227,1.2895,1.17312,1.18108,1.3683,1.42373,1.23032,1.33715,1.12913,1.26932,1.13854,1.02618,1.04054,1.173,1.11911,1.08189,1.17488,1.16381,1.17928,1.11845,1.11702,1.17731,1.13694,1.13304,1.18401,1.25197,1.31141,1.10854,1.23845,1.32274,1.49705,1.48966,1.66182,1.63838,1.69376,1.61252,1.51113,1.47211,1.44783,1.41111,1.31335,1.3319,1.24801,1.1907,1.11419,1.13182,1.02972,1.02692,0.998144,0.939225,0.974855,0.919113,0.912402,0.844957,0.922278,0.814429,0.828982,
8,1,Line._an_l07-ramal,A,0.120028,0.114797,0.105171,0.0999381,0.0941012,0.0960031,0.0856522,0.0880753,0.0841162,0.0794268,0.0781158,0.0820892,0.0796483,0.0801997,0.0768187,0.0735507,0.0806637,0.0814228,0.078966,0.0887964,0.101899,0.14778,0.232113,0.220806,0.255021,0.149367,0.117065,0.129208,0.175307,0.179812,0.124806,0.0943561,0.0954108,0.0909678,0.101827,0.105231,0.103505,0.12183,0.103703,0.0929587,0.10802,0.120597,0.137672,0.165619,0.16274,0.1511,0.168607,0.145246,0.167846,0.15132,0.128804,0.123148,0.135905,0.153466,0.139889,0.141058,0.136237,0.14794,0.140137,0.131746,0.127871,0.138514,0.120106,0.135604,0.147275,0.152542,0.170015,0.188867,0.164454,0.208185,0.289512,0.288143,0.317941,0.334714,0.364063,0.37803,0.363056,0.356818,0.323979,0.314005,0.297448,0.295247,0.272272,0.260024,0.259859,0.264548,0.253185,0.236082,0.247926,0.223275,0.201474,0.175035,0.170291,0.170537,0.135828,0.12003,
9,1,Line._bcn_l08-ramal,A,0.0322989,0.0360458,0.0315811,0.0348229,0.0340682,0.0304666,0.0370599,0.0322769,0.0308865,0.034453,0.0296987,0.0308163,0.0333798,0.0298362,0.0358425,0.0394747,0.0384203,0.0350547,0.0371855,0.0298349,0.0384046,0.0308032,0.0357936,0.0343107,0.0352101,0.0250847,0.0290993,0.0320483,0.0301905,0.0387533,0.023204,0.044532,0.0372954,0.0282147,0.0284525,0.0551776,0.0459544,0.0419201,0.0768592,0.0425424,0.084788,0.0525845,0.07266,0.0623426,0.0620075,0.0644835,0.0376806,0.0494758,0.0481536,0.0327502,0.0327419,0.0384044,0.0428091,0.0794764,0.0473053,0.0614824,0.0464307,0.0389875,0.0410163,0.0476818,0.0666126,0.0475395,0.0354629,0.0347422,0.0322897,0.0376927,0.061645,0.0719371,0.0707515,0.144584,0.197747,0.162198,0.117111,0.15088,0.142953,0.207417,0.167066,0.159785,0.168398,0.149626,0.159926,0.156759,0.140576,0.105707,0.128804,0.1772,0.132474,0.105567,0.0970615,0.088622,0.0898957,0.0560674,0.0437673,0.0366537,0.0358858,0.0322989,
10,1,Line._abcn_l09-sec,A,0.158209,0.151312,0.138624,0.131726,0.124033,0.12654,0.112898,0.116091,0.110873,0.104694,0.102966,0.108202,0.104986,0.105712,0.101257,0.0969505,0.106324,0.107324,0.104087,0.117041,0.13431,0.194798,0.306055,0.291135,0.336295,0.196892,0.154303,0.170311,0.231105,0.237048,0.164508,0.124369,0.125759,0.119903,0.134215,0.138702,0.136428,0.160584,0.136688,0.122527,0.142379,0.158959,0.181471,0.218324,0.214528,0.199177,0.222267,0.191458,0.221262,0.199468,0.169779,0.162321,0.179141,0.202297,0.184395,0.185935,0.179579,0.19501,0.184721,0.173658,0.168548,0.18258,0.158311,0.178744,0.194133,0.20108,0.224125,0.248991,0.216788,0.274477,0.381832,0.380022,0.419378,0.441539,0.480321,0.498783,0.478992,0.470748,0.427358,0.414182,0.392313,0.389406,0.359068,0.342897,0.34268,0.34887,0.333869,0.311294,0.326927,0.294391,0.265624,0.230745,0.224488,0.224812,0.179039,0.15821,
