Nome_ID,Simulation,Elementos,Fase,Time_0,Time_1,Time_2,Time_3,Time_4,Time_5,Time_6,Time_7,Time_8,Time_9,Time_10,Time_11,Time_12,Time_13,Time_14,Time_15,Time_16,Time_17,Time_18,Time_19,Time_20,Time_21,Time_22,Time_23,Time_24,Time_25,Time_26,Time_27,Time_28,Time_29,Time_30,Time_31,Time_32,Time_33,Time_34,Time_35,Time_36,Time_37,Time_38,Time_39,Time_40,Time_41,Time_42,Time_43,Time_44,Time_45,Time_46,Time_47,Time_48,Time_49,Time_50,Time_51,Time_52,Time_53,Time_54,Time_55,Time_56,Time_57,Time_58,Time_59,Time_60,Time_61,Time_62,Time_63,Time_64,Time_65,Time_66,Time_67,Time_68,Time_69,Time_70,Time_71,Time_72,Time_73,Time_74,Time_75,Time_76,Time_77,Time_78,Time_79,Time_80,Time_81,Time_82,Time_83,Time_84,Time_85,Time_86,Time_87,Time_88,Time_89,Time_90,Time_91,Time_92,Time_93,Time_94,Time_95,
1,1,Vsource.source,A,6870.24,6870.24,6870.24,6870.24,6870.24,6870.24,6870.25,6870.25,6870.25,6870.25,6870.25,6870.25,6870.25,6870.25,6870.25,6870.25,6870.25,6870.25,6870.25,6870.25,6870.24,6870.22,6870.2,6870.21,6870.2,6870.22,6870.23,6870.23,6870.22,6870.22,6870.23,6870.24,6870.24,6870.24,6870.24,6870.24,6870.24,6870.23,6870.24,6870.24,6870.25,6870.24,6870.23,6870.22,6870.22,6870.23,6870.22,6870.23,6870.22,6870.23,6870.23,6870.23,6870.23,6870.23,6870.23,6870.23,6870.23,6870.23,6870.23,6870.23,6870.24,6870.23,6870.23,6870.23,6870.22,6870.22,6870.22,6870.22,6870.22,6870.21,6870.2,6870.18,6870.17,6870.17,6870.17,6870.18,6870.17,6870.18,6870.19,6870.19,6870.19,6870.19,6870.2,6870.2,6870.2,6870.21,6870.21,6870.21,6870.21,6870.21,6870.22,6870.22,6870.22,6870.22,6870.23,6870.24,
2,1,Line._abcn_l01-sec,A,126.174,126.18,126.209,126.205,126.219,126.215,126.228,126.23,126.235,126.245,126.243,126.24,126.241,126.245,126.248,126.254,126.252,126.232,126.251,126.234,126.214,126.152,126.003,125.889,125.81,126.049,126.114,126.08,126.007,126.007,126.102,126.16,126.159,126.15,126.156,126.155,126.154,126.109,126.129,126.155,126.135,126.116,126.097,126.041,126.043,126.082,126.017,126.089,126.037,126.072,126.124,126.133,126.086,126.078,126.093,126.085,126.09,126.063,126.087,126.105,126.113,126.095,126.129,126.091,126.065,126.053,126.047,126.015,126.072,126.028,125.92,125.93,125.855,125.805,125.761,125.751,125.77,125.782,125.852,125.872,125.914,125.921,125.954,125.975,125.969,125.984,125.989,126.011,125.989,126.019,126.067,126.092,126.106,126.088,126.154,126.174,
3,1,Line._cn_l02-ramal,A,126.258,126.273,126.307,126.313,126.322,126.337,126.339,126.353,126.349,126.35,126.354,126.365,126.359,126.363,126.361,126.364,126.375,126.359,126.374,126.334,126.275,126.163,126.013,126.089,126.053,126.188,126.213,126.215,126.177,126.219,126.258,126.236,126.231,126.254,126.253,126.214,126.245,126.209,126.153,126.212,126.193,126.22,126.174,126.056,126.038,126.117,126.137,126.186,126.125,126.191,126.234,126.225,126.215,126.176,126.219,126.192,126.208,126.201,126.209,126.211,126.189,126.189,126.196,126.186,126.151,126.122,126.16,126.064,125.988,125.777,125.617,125.481,125.515,125.554,125.54,125.578,125.621,125.635,125.659,125.71,125.682,125.723,125.799,125.837,125.863,125.871,125.908,125.953,125.975,126.018,126.041,126.122,126.144,126.149,126.227,126.258,
4,1,Line._abcn_l03-sec,A,126.174,126.18,126.209,126.205,126.219,126.215,126.228,126.23,126.235,126.245,126.243,126.24,126.241,126.245,126.248,126.254,126.252,126.232,126.251,126.234,126.214,126.152,126.003,125.889,125.81,126.049,126.114,126.08,126.007,126.007,126.102,126.16,126.159,126.15,126.156,126.155,126.154,126.109,126.129,126.155,126.135,126.116,126.097,126.041,126.043,126.082,126.017,126.089,126.037,126.072,126.124,126.133,126.086,126.078,126.093,126.085,126.09,126.063,126.087,126.105,126.113,126.095,126.129,126.091,126.065,126.053,126.047,126.015,126.072,126.028,125.92,125.93,125.855,125.805,125.761,125.751,125.77,125.782,125.852,125.872,125.914,125.921,125.954,125.975,125.969,125.984,125.989,126.011,125.989,126.019,126.067,126.092,126.106,126.088,126.154,126.174,
5,1,Line._abcn_l04-sec,A,126.015,126.022,126.066,126.055,126.074,126.073,126.084,126.092,126.096,126.106,126.104,126.104,126.102,126.11,126.11,126.117,126.123,126.089,126.12,126.095,126.064,125.989,125.805,125.626,125.527,125.831,125.909,125.867,125.788,125.8,125.906,125.967,125.967,125.955,125.975,125.966,125.969,125.908,125.91,125.955,125.929,125.92,125.896,125.812,125.809,125.872,125.791,125.892,125.819,125.871,125.942,125.951,125.886,125.879,125.902,125.883,125.891,125.859,125.892,125.913,125.914,125.899,125.937,125.89,125.853,125.834,125.845,125.795,125.849,125.775,125.648,125.639,125.559,125.498,125.455,125.453,125.48,125.496,125.579,125.612,125.656,125.673,125.718,125.751,125.743,125.767,125.776,125.805,125.786,125.819,125.878,125.911,125.933,125.907,125.993,126.015,
6,1,Line._abcn_l05-sec,A,126.015,126.022,126.066,126.055,126.074,126.073,126.084,126.092,126.096,126.106,126.104,126.104,126.102,126.11,126.11,126.117,126.123,126.089,126.12,126.095,126.064,125.989,125.805,125.626,125.527,125.831,125.909,125.867,125.788,125.8,125.906,125.967,125.967,125.955,125.975,125.966,125.969,125.908,125.91,125.955,125.929,125.92,125.896,125.812,125.809,125.872,125.791,125.892,125.819,125.871,125.942,125.951,125.886,125.879,125.902,125.883,125.891,125.859,125.892,125.913,125.914,125.899,125.937,125.89,125.853,125.834,125.845,125.795,125.849,125.775,125.648,125.639,125.559,125.498,125.455,125.453,125.48,125.496,125.579,125.612,125.656,125.673,125.718,125.751,125.743,125.767,125.776,125.805,125.786,125.819,125.878,125.911,125.933,125.907,125.993,126.015,
7,1,Line._abcn_l06-sec,A,126.015,126.022,126.066,126.055,126.074,126.073,126.084,126.092,126.096,126.106,126.104,126.104,126.102,126.11,126.11,126.117,126.123,126.089,126.12,126.095,126.064,125.989,125.805,125.626,125.527,125.831,125.909,125.867,125.788,125.8,125.906,125.967,125.967,125.955,125.975,125.966,125.969,125.908,125.91,125.955,125.929,125.92,125.896,125.812,125.809,125.872,125.791,125.892,125.819,125.871,125.942,125.951,125.886,125.879,125.902,125.883,125.891,125.859,125.892,125.913,125.914,125.899,125.937,125.89,125.853,125.834,125.845,125.795,125.849,125.775,125.648,125.639,125.559,125.498,125.455,125.453,125.48,125.496,125.579,125.612,125.656,125.673,125.718,125.751,125.743,125.767,125.776,125.805,125.786,125.819,125.878,125.911,125.933,125.907,125.993,126.015,
8,1,Line._an_l07-ramal,A,125.975,125.983,126.03,126.02,126.04,126.039,126.052,126.06,126.064,126.076,126.074,126.074,126.072,126.079,126.081,126.089,126.093,126.059,126.09,126.063,126.029,125.943,125.738,125.561,125.454,125.784,125.87,125.824,125.735,125.745,125.865,125.933,125.933,125.922,125.939,125.93,125.933,125.868,125.874,125.922,125.892,125.88,125.852,125.761,125.759,125.825,125.739,125.846,125.767,125.824,125.9,125.91,125.842,125.831,125.857,125.838,125.847,125.813,125.847,125.87,125.872,125.854,125.897,125.846,125.807,125.786,125.793,125.738,125.798,125.713,125.565,125.556,125.47,125.405,125.355,125.348,125.379,125.397,125.488,125.524,125.572,125.589,125.64,125.676,125.668,125.691,125.702,125.736,125.715,125.753,125.818,125.857,125.88,125.854,125.95,125.975,
9,1,Line._bcn_l08-ramal,A,126.579,126.567,126.595,126.567,126.574,126.583,126.56,126.581,126.578,126.572,126.575,126.582,126.57,126.585,126.568,126.562,126.584,126.559,126.58,126.591,126.577,126.62,126.623,126.424,126.404,126.48,126.478,126.458,126.487,126.493,126.503,126.468,126.485,126.479,126.522,126.479,126.49,126.48,126.387,126.463,126.399,126.471,126.453,126.454,126.445,126.468,126.47,126.495,126.477,126.515,126.533,126.526,126.486,126.458,126.503,126.465,126.485,126.494,126.506,126.496,126.459,126.498,126.516,126.505,126.502,126.486,126.492,126.472,126.478,126.386,126.354,126.405,126.467,126.385,126.422,126.338,126.397,126.41,126.401,126.441,126.43,126.444,126.461,126.523,126.474,126.426,126.483,126.518,126.539,126.529,126.536,126.563,126.593,126.581,126.587,126.579,
10,1,Line._abcn_l09-sec,A,125.975,125.983,126.03,126.02,126.04,126.039,126.052,126.06,126.064,126.076,126.074,126.074,126.072,126.079,126.081,126.089,126.093,126.059,126.09,126.063,126.029,125.943,125.738,125.561,125.454,125.784,125.87,125.824,125.735,125.745,125.865,125.933,125.933,125.922,125.939,125.93,125.933,125.868,125.874,125.922,125.892,125.88,125.852,125.761,125.759,125.825,125.739,125.846,125.767,125.824,125.9,125.91,125.842,125.831,125.857,125.838,125.847,125.813,125.847,125.87,125.872,125.854,125.897,125.846,125.807,125.786,125.793,125.738,125.798,125.713,125.565,125.556,125.47,125.405,125.355,125.348,125.379,125.397,125.488,125.524,125.572,125.589,125.64,125.676,125.668,125.691,125.702,125.736,125.715,125.753,125.818,125.857,125.88,125.854,125.95,125.975,
