Nome_ID,Simulation,Elementos,Fase,Time_0,Time_1,Time_2,Time_3,Time_4,Time_5,Time_6,Time_7,Time_8,Time_9,Time_10,Time_11,Time_12,Time_13,Time_14,Time_15,Time_16,Time_17,Time_18,Time_19,Time_20,Time_21,Time_22,Time_23,Time_24,Time_25,Time_26,Time_27,Time_28,Time_29,Time_30,Time_31,Time_32,Time_33,Time_34,Time_35,Time_36,Time_37,Time_38,Time_39,Time_40,Time_41,Time_42,Time_43,Time_44,Time_45,Time_46,Time_47,Time_48,Time_49,Time_50,Time_51,Time_52,Time_53,Time_54,Time_55,Time_56,Time_57,Time_58,Time_59,Time_60,Time_61,Time_62,Time_63,Time_64,Time_65,Time_66,Time_67,Time_68,Time_69,Time_70,Time_71,Time_72,Time_73,Time_74,Time_75,Time_76,Time_77,Time_78,Time_79,Time_80,Time_81,Time_82,Time_83,Time_84,Time_85,Time_86,Time_87,Time_88,Time_89,Time_90,Time_91,Time_92,Time_93,Time_94,Time_95,
1,1,Vsource.source,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,1,Line._abcn_l01-sec,A,-30.21,-30.2,-30.17,-30.16,-30.15,-30.15,-30.14,-30.13,-30.13,-30.12,-30.12,-30.12,-30.12,-30.12,-30.12,-30.11,-30.11,-30.13,-30.11,-30.14,-30.18,-30.26,-30.42,-30.44,-30.5,-30.31,-30.25,-30.27,-30.34,-30.32,-30.25,-30.21,-30.22,-30.21,-30.22,-30.23,-30.22,-30.26,-30.26,-30.23,-30.24,-30.25,-30.28,-30.36,-30.37,-30.31,-30.34,-30.28,-30.34,-30.29,-30.24,-30.24,-30.27,-30.29,-30.27,-30.28,-30.27,-30.29,-30.27,-30.26,-30.26,-30.28,-30.26,-30.28,-30.31,-30.33,-30.32,-30.37,-30.37,-30.48,-30.6,-30.66,-30.69,-30.7,-30.74,-30.72,-30.7,-30.68,-30.63,-30.6,-30.59,-30.57,-30.52,-30.5,-30.48,-30.47,-30.45,-30.43,-30.43,-30.4,-30.36,-30.31,-30.3,-30.31,-30.23,-30.21,
3,1,Line._cn_l02-ramal,A,89.94,89.94,89.97,89.96,89.97,89.98,89.97,89.98,89.98,89.98,89.98,89.99,89.98,89.99,89.98,89.98,89.99,89.98,89.99,89.98,89.94,89.91,89.85,89.85,89.84,89.9,89.9,89.9,89.9,89.92,89.93,89.9,89.9,89.91,89.92,89.89,89.91,89.9,89.83,89.88,89.86,89.9,89.87,89.82,89.8,89.85,89.87,89.89,89.86,89.9,89.92,89.91,89.9,89.87,89.91,89.88,89.9,89.9,89.91,89.9,89.88,89.89,89.9,89.89,89.88,89.86,89.88,89.83,89.78,89.65,89.57,89.52,89.56,89.57,89.58,89.57,89.61,89.62,89.62,89.65,89.63,89.65,89.69,89.73,89.73,89.71,89.75,89.78,89.81,89.82,89.83,89.88,89.89,89.9,89.93,89.94,
4,1,Line._abcn_l03-sec,A,-30.21,-30.2,-30.17,-30.16,-30.15,-30.15,-30.14,-30.13,-30.13,-30.12,-30.12,-30.12,-30.12,-30.12,-30.12,-30.11,-30.11,-30.13,-30.11,-30.14,-30.18,-30.26,-30.42,-30.44,-30.5,-30.31,-30.25,-30.27,-30.34,-30.32,-30.25,-30.21,-30.22,-30.21,-30.22,-30.23,-30.22,-30.26,-30.26,-30.23,-30.24,-30.25,-30.28,-30.36,-30.37,-30.31,-30.34,-30.28,-30.34,-30.29,-30.24,-30.24,-30.27,-30.29,-30.27,-30.28,-30.27,-30.29,-30.27,-30.26,-30.26,-30.28,-30.26,-30.28,-30.31,-30.33,-30.32,-30.37,-30.37,-30.48,-30.6,-30.66,-30.69,-30.7,-30.74,-30.72,-30.7,-30.68,-30.63,-30.6,-30.59,-30.57,-30.52,-30.5,-30.48,-30.47,-30.45,-30.43,-30.43,-30.4,-30.36,-30.31,-30.3,-30.31,-30.23,-30.21,
5,1,Line._abcn_l04-sec,A,-30.18,-30.17,-30.14,-30.14,-30.13,-30.12,-30.11,-30.11,-30.1,-30.1,-30.1,-30.09,-30.1,-30.09,-30.09,-30.08,-30.08,-30.1,-30.08,-30.11,-30.15,-30.24,-30.4,-30.43,-30.5,-30.29,-30.24,-30.26,-30.32,-30.3,-30.23,-30.2,-30.2,-30.2,-30.2,-30.21,-30.2,-30.24,-30.25,-30.21,-30.23,-30.23,-30.26,-30.35,-30.36,-30.3,-30.33,-30.26,-30.32,-30.28,-30.22,-30.22,-30.25,-30.27,-30.25,-30.26,-30.25,-30.28,-30.26,-30.24,-30.25,-30.26,-30.24,-30.27,-30.3,-30.32,-30.3,-30.36,-30.36,-30.47,-30.6,-30.66,-30.7,-30.7,-30.74,-30.72,-30.7,-30.68,-30.63,-30.6,-30.58,-30.56,-30.51,-30.48,-30.47,-30.45,-30.44,-30.41,-30.42,-30.38,-30.34,-30.29,-30.28,-30.29,-30.21,-30.18,
6,1,Line._abcn_l05-sec,A,-30.18,-30.17,-30.14,-30.14,-30.13,-30.12,-30.11,-30.11,-30.1,-30.1,-30.1,-30.09,-30.1,-30.09,-30.09,-30.08,-30.08,-30.1,-30.08,-30.11,-30.15,-30.24,-30.4,-30.43,-30.5,-30.29,-30.24,-30.26,-30.32,-30.3,-30.23,-30.2,-30.2,-30.2,-30.2,-30.21,-30.2,-30.24,-30.25,-30.21,-30.23,-30.23,-30.26,-30.35,-30.36,-30.3,-30.33,-30.26,-30.32,-30.28,-30.22,-30.22,-30.25,-30.27,-30.25,-30.26,-30.25,-30.28,-30.26,-30.24,-30.25,-30.26,-30.24,-30.27,-30.3,-30.32,-30.3,-30.36,-30.36,-30.47,-30.6,-30.66,-30.7,-30.7,-30.74,-30.72,-30.7,-30.68,-30.63,-30.6,-30.58,-30.56,-30.51,-30.48,-30.47,-30.45,-30.44,-30.41,-30.42,-30.38,-30.34,-30.29,-30.28,-30.29,-30.21,-30.18,
7,1,Line._abcn_l06-sec,A,-30.18,-30.17,-30.14,-30.14,-30.13,-30.12,-30.11,-30.11,-30.1,-30.1,-30.1,-30.09,-30.1,-30.09,-30.09,-30.08,-30.08,-30.1,-30.08,-30.11,-30.15,-30.24,-30.4,-30.43,-30.5,-30.29,-30.24,-30.26,-30.32,-30.3,-30.23,-30.2,-30.2,-30.2,-30.2,-30.21,-30.2,-30.24,-30.25,-30.21,-30.23,-30.23,-30.26,-30.35,-30.36,-30.3,-30.33,-30.26,-30.32,-30.28,-30.22,-30.22,-30.25,-30.27,-30.25,-30.26,-30.25,-30.28,-30.26,-30.24,-30.25,-30.26,-30.24,-30.27,-30.3,-30.32,-30.3,-30.36,-30.36,-30.47,-30.6,-30.66,-30.7,-30.7,-30.74,-30.72,-30.7,-30.68,-30.63,-30.6,-30.58,-30.56,-30.51,-30.48,-30.47,-30.45,-30.44,-30.41,-30.42,-30.38,-30.34,-30.29,-30.28,-30.29,-30.21,-30.18,
8,1,Line._an_l07-ramal,A,-30.18,-30.17,-30.13,-30.13,-30.12,-30.12,-30.1,-30.1,-30.1,-30.09,-30.09,-30.09,-30.09,-30.08,-30.08,-30.08,-30.07,-30.09,-30.07,-30.1,-30.14,-30.24,-30.4,-30.43,-30.5,-30.29,-30.23,-30.25,-30.32,-30.3,-30.22,-30.19,-30.19,-30.19,-30.19,-30.2,-30.19,-30.24,-30.24,-30.2,-30.22,-30.23,-30.26,-30.35,-30.35,-30.29,-30.33,-30.26,-30.32,-30.27,-30.22,-30.22,-30.25,-30.27,-30.24,-30.26,-30.25,-30.27,-30.25,-30.24,-30.24,-30.25,-30.23,-30.26,-30.29,-30.31,-30.3,-30.36,-30.36,-30.47,-30.6,-30.66,-30.7,-30.71,-30.75,-30.73,-30.7,-30.69,-30.63,-30.6,-30.58,-30.56,-30.51,-30.49,-30.47,-30.45,-30.44,-30.41,-30.42,-30.38,-30.34,-30.29,-30.27,-30.28,-30.2,-30.18,
9,1,Line._bcn_l08-ramal,A,-150.07,-150.08,-150.06,-150.07,-150.07,-150.06,-150.07,-150.06,-150.06,-150.06,-150.06,-150.06,-150.06,-150.06,-150.06,-150.06,-150.06,-150.07,-150.06,-150.05,-150.06,-150.06,-150.1,-150.23,-150.26,-150.16,-150.13,-150.16,-150.17,-150.17,-150.13,-150.13,-150.12,-150.12,-150.1,-150.12,-150.12,-150.14,-150.17,-150.13,-150.17,-150.14,-150.16,-150.16,-150.16,-150.15,-150.17,-150.14,-150.16,-150.13,-150.11,-150.11,-150.14,-150.16,-150.14,-150.16,-150.14,-150.15,-150.13,-150.13,-150.15,-150.13,-150.11,-150.13,-150.14,-150.15,-150.15,-150.17,-150.14,-150.19,-150.23,-150.19,-150.19,-150.25,-150.25,-150.3,-150.27,-150.26,-150.24,-150.22,-150.2,-150.2,-150.18,-150.15,-150.18,-150.2,-150.17,-150.15,-150.15,-150.14,-150.12,-150.1,-150.09,-150.1,-150.08,-150.07,
10,1,Line._abcn_l09-sec,A,-30.18,-30.17,-30.13,-30.13,-30.12,-30.12,-30.1,-30.1,-30.1,-30.09,-30.09,-30.09,-30.09,-30.08,-30.08,-30.08,-30.07,-30.09,-30.07,-30.1,-30.14,-30.24,-30.4,-30.43,-30.5,-30.29,-30.23,-30.25,-30.32,-30.3,-30.22,-30.19,-30.19,-30.19,-30.19,-30.2,-30.19,-30.24,-30.24,-30.2,-30.22,-30.23,-30.26,-30.35,-30.35,-30.29,-30.33,-30.26,-30.32,-30.27,-30.22,-30.22,-30.25,-30.27,-30.24,-30.26,-30.25,-30.27,-30.25,-30.24,-30.24,-30.25,-30.23,-30.26,-30.29,-30.31,-30.3,-30.36,-30.36,-30.47,-30.6,-30.66,-30.7,-30.71,-30.75,-30.73,-30.7,-30.69,-30.63,-30.6,-30.58,-30.56,-30.51,-30.49,-30.47,-30.45,-30.44,-30.41,-30.42,-30.38,-30.34,-30.29,-30.27,-30.28,-30.2,-30.18,
